0,50145.000000,3988,3588,0
1,50146.000000,3588,3988,0
2,50239.000000,3988,2151,0
3,50240.000000,2151,3988,0
4,50590.000000,3988,2540,0
5,50591.000000,2540,3988,0
6,50736.000000,2540,3401,0
7,50737.000000,3401,2540,0
8,51043.000000,3401,1374,0
9,51043.000000,1374,3401,0
10,51192.000000,2540,975,0
11,51204.000000,975,2540,0
12,51281.000000,975,2968,0
13,51282.000000,2968,975,0
14,51317.000000,1374,2971,0
15,51318.000000,2971,1374,0
16,51353.000000,1374,1579,0
17,51354.000000,1579,1374,0
18,51405.000000,1374,3591,0
19,51406.000000,3591,1374,0
20,51427.000000,975,2773,0
21,51428.000000,2773,975,0
22,51441.000000,975,3774,0
23,51442.000000,3774,975,0
24,51464.000000,975,2774,0
25,51465.000000,2774,975,0
26,51535.000000,2971,1188,0
27,51535.000000,1188,2971,0
28,51560.000000,3591,378,0
29,51560.000000,378,3591,0
30,51571.000000,1579,1188,0
31,51571.000000,1188,1579,0
32,51592.000000,2971,3975,0
33,51593.000000,3975,2971,0
34,51618.000000,3591,1948,0
35,51618.000000,1948,3591,0
36,51628.000000,3975,1579,0
37,51628.000000,1579,3975,0
38,51639.000000,2971,1377,0
39,51649.000000,3591,2350,0
40,51649.000000,2350,3591,0
41,51650.000000,975,378,0
42,51650.000000,378,975,0
43,51656.000000,1377,2971,0
44,51656.000000,1377,1750,0
45,51672.000000,1750,1377,0
46,51674.000000,1579,1377,0
47,51674.000000,1377,1579,0
48,51682.000000,1750,1579,0
49,51682.000000,1579,1750,0
50,51709.000000,1948,975,0
51,51709.000000,975,1948,0
52,51730.000000,3591,3181,0
53,51730.000000,3181,3591,0
54,51740.000000,2350,975,0
55,51740.000000,975,2350,0
56,51810.000000,1374,3990,0
57,51821.000000,3181,975,0
58,51821.000000,975,3181,0
59,51827.000000,3990,1374,0
60,51831.000000,1948,1188,0
61,51831.000000,1188,1948,0
62,51889.000000,3975,1948,0
63,51889.000000,1948,3975,0
64,51935.000000,1948,1377,0
65,51935.000000,1377,1948,0
66,51943.000000,1948,1750,0
67,51943.000000,1750,1948,0
68,51962.000000,378,3990,0
69,51962.000000,3990,378,0
70,52000.000000,3975,3181,0
71,52000.000000,3181,3975,0
72,52028.000000,1188,3990,0
73,52028.000000,3990,1188,0
74,52032.000000,2350,1751,0
75,52032.000000,1751,2350,0
76,52046.000000,3181,1377,0
77,52046.000000,1377,3181,0
78,52053.000000,2350,585,0
79,52053.000000,585,2350,0
80,52054.000000,3181,1750,0
81,52054.000000,1750,3181,0
82,52060.000000,1948,3977,0
83,52061.000000,3977,1948,0
84,52064.000000,378,2781,0
85,52065.000000,2781,378,0
86,52065.000000,2781,3184,0
87,52066.000000,3184,2781,0
88,52070.000000,1948,3995,0
89,52070.000000,3995,1948,0
90,52071.000000,3184,378,0
91,52071.000000,378,3184,0
92,52113.000000,3181,1751,0
93,52113.000000,1751,3181,0
94,52130.000000,2781,1188,0
95,52130.000000,1188,2781,0
96,52134.000000,3181,585,0
97,52134.000000,585,3181,0
98,52136.000000,3184,1188,0
99,52136.000000,1188,3184,0
100,52139.000000,1750,3990,0
101,52139.000000,3990,1750,0
102,52179.000000,1948,3779,0
103,52180.000000,3779,1948,0
104,52198.000000,2350,977,0
105,52198.000000,977,2350,0
106,52199.000000,1948,4017,0
107,52199.000000,4017,1948,0
108,52219.000000,585,3990,0
109,52219.000000,3990,585,0
110,52220.000000,1188,2782,0
111,52221.000000,2782,1188,0
112,52241.000000,2781,1750,0
113,52241.000000,1750,2781,0
114,52248.000000,3184,1750,0
115,52248.000000,1750,3184,0
116,52259.000000,3977,585,0
117,52259.000000,585,3977,0
118,52269.000000,585,3995,0
119,52269.000000,3995,585,0
120,52278.000000,3181,977,0
121,52278.000000,977,3181,0
122,52307.000000,3977,3995,0
123,52307.000000,3995,3977,0
124,52331.000000,2782,1750,0
125,52331.000000,1750,2782,0
126,52364.000000,977,3990,0
127,52364.000000,3990,977,0
128,52369.000000,2781,3995,0
129,52369.000000,3995,2781,0
130,52376.000000,3184,3995,0
131,52376.000000,3995,3184,0
132,52378.000000,3779,585,0
133,52378.000000,585,3779,0
134,52398.000000,585,4017,0
135,52398.000000,4017,585,0
136,52403.000000,3977,977,0
137,52403.000000,977,3977,0
138,52440.000000,1377,588,0
139,52445.000000,588,2977,0
140,52445.000000,588,1377,0
141,52448.000000,1377,2977,0
142,52459.000000,2782,3995,0
143,52459.000000,3995,2782,0
144,52460.000000,2977,1377,0
145,52460.000000,2977,588,0
146,52466.000000,2781,977,0
147,52466.000000,977,2781,0
148,52472.000000,3184,977,0
149,52472.000000,977,3184,0
150,52496.000000,585,2549,0
151,52497.000000,2549,585,0
152,52507.000000,1751,588,0
153,52507.000000,588,1751,0
154,52515.000000,2977,1751,0
155,52515.000000,1751,2977,0
156,52525.000000,3779,977,0
157,52525.000000,977,3779,0
158,52547.000000,585,3980,0
159,52548.000000,3980,585,0
160,52556.000000,2782,977,0
161,52556.000000,977,2782,0
162,52575.000000,585,1756,0
163,52576.000000,1756,585,0
164,52593.000000,2782,4017,0
165,52593.000000,4017,2782,0
166,52606.000000,585,3780,0
167,52607.000000,3780,585,0
168,52612.000000,3990,4049,0
169,52618.000000,4049,3990,0
170,52623.000000,3990,4053,0
171,52624.000000,3995,4044,0
172,52624.000000,4044,3995,0
173,52624.000000,4044,3982,0
174,52624.000000,4044,3981,0
175,52625.000000,3982,3981,0
176,52625.000000,3982,4044,0
177,52625.000000,3981,3995,0
178,52625.000000,3981,3982,0
179,52625.000000,3981,4044,0
180,52625.000000,3995,3981,0
181,52631.000000,3982,3995,0
182,52631.000000,3995,3982,0
183,52639.000000,4053,383,0
184,52639.000000,4053,3990,0
185,52652.000000,3977,4049,0
186,52652.000000,4049,3977,0
187,52653.000000,383,4053,0
188,52663.000000,3977,4053,0
189,52663.000000,4053,3977,0
190,52670.000000,3977,383,0
191,52670.000000,383,3977,0
192,52685.000000,3779,588,0
193,52685.000000,588,3779,0
194,52693.000000,3779,2977,0
195,52693.000000,2977,3779,0
196,52699.000000,3995,3596,0
197,52700.000000,3596,3995,0
198,52704.000000,588,4017,0
199,52704.000000,4017,588,0
200,52712.000000,2977,4017,0
201,52712.000000,4017,2977,0
202,52714.000000,2781,4049,0
203,52714.000000,4049,2781,0
204,52720.000000,3995,3186,0
205,52721.000000,3184,4049,0
206,52721.000000,977,4044,0
207,52721.000000,4044,977,0
208,52721.000000,4049,3184,0
209,52722.000000,3981,977,0
210,52722.000000,977,3981,0
211,52725.000000,2781,4053,0
212,52725.000000,4053,2781,0
213,52727.000000,3982,977,0
214,52727.000000,977,3982,0
215,52732.000000,3186,3995,0
216,52732.000000,3184,4053,0
217,52732.000000,2781,383,0
218,52732.000000,383,2781,0
219,52732.000000,4053,3184,0
220,52739.000000,3184,383,0
221,52739.000000,383,3184,0
222,52780.000000,3779,2356,0
223,52780.000000,2356,3779,0
224,52796.000000,3596,977,0
225,52796.000000,977,3596,0
226,52800.000000,2356,4017,0
227,52800.000000,4017,2356,0
228,52803.000000,2549,588,0
229,52803.000000,588,2549,0
230,52804.000000,2782,4049,0
231,52804.000000,4049,2782,0
232,52810.000000,3779,2357,0
233,52810.000000,2357,3779,0
234,52811.000000,2977,2549,0
235,52811.000000,2549,2977,0
236,52815.000000,2782,4053,0
237,52815.000000,4053,2782,0
238,52816.000000,3186,977,0
239,52816.000000,977,3186,0
240,52822.000000,2782,383,0
241,52822.000000,383,2782,0
242,52830.000000,2357,4017,0
243,52830.000000,4017,2357,0
244,52862.000000,3980,2977,0
245,52862.000000,2977,3980,0
246,52883.000000,588,4044,0
247,52883.000000,4044,588,0
248,52884.000000,3981,588,0
249,52884.000000,588,3981,0
250,52890.000000,3982,588,0
251,52890.000000,2977,1756,0
252,52890.000000,1756,2977,0
253,52890.000000,588,3982,0
254,52898.000000,2549,2356,0
255,52898.000000,2356,2549,0
256,52921.000000,3780,2977,0
257,52921.000000,2977,3780,0
258,52926.000000,1756,4044,0
259,52926.000000,4044,1756,0
260,52927.000000,3981,1756,0
261,52927.000000,1756,3981,0
262,52928.000000,2549,2357,0
263,52928.000000,2357,2549,0
264,52935.000000,3982,1756,0
265,52935.000000,1756,3982,0
266,52940.000000,3980,4049,0
