Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_6_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~400~400~e_RA_fTA~2000~2000~1600~1600~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1780,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,6,100000,50013,55041,74857,56020,50000,55041,75114,56109,750,0,0,0,130,3,185465,273027,980,272510,517,732,6,732,6,0,0,1535,32.575,31.8905
2,6,100000,50136,55004,100000,56165,50000,55004,100000,56165,561,120,0,0,138,4,449638,589133,1017,588152,981,1625,11,1625,11,0,0,1645,30.413,30.1136
3,6,100000,50007,55034,99952,56018,50000,55034,100000,56020,586,111,0,0,147,3,471380,618460,987,618239,221,1665,6,1665,5,0,0,1679,29.7819,30.5999
4,6,100000,50134,55029,99974,55980,50000,55029,100000,56020,573,115,0,0,134,2,399330,557508,992,557502,6,1530,2,1530,2,0,0,1545,32.318,32.9888
5,6,100000,50000,55159,99997,56003,50000,55159,100000,56101,602,124,0,0,144,3,432272,589694,862,588834,860,1623,8,1623,8,0,0,1640,30.5003,30.5399
6,6,100000,50000,55010,99995,55995,50000,55010,100000,56020,596,103,0,0,157,1,440716,597037,1011,597037,0,1635,0,1635,0,0,0,1650,30.3062,31.0547
7,6,100000,50043,55021,99994,56072,50000,55021,100000,56072,549,114,0,0,142,4,455630,598868,1000,598464,404,1629,10,1629,10,0,0,1644,30.3956,30.6666
8,6,100000,50013,0,99993,0,50000,0,100000,0,607,100,0,0,140,1,455834,570547,0,570547,0,1627,0,1626,-1,0,0,1643,30.4275,31.53
9,6,100000,50023,55004,99997,56017,50000,55004,100000,56057,584,95,0,0,143,3,440299,592400,1017,592207,193,1615,5,1615,5,0,0,1628,30.7105,30.8832
10,6,100000,50000,55018,99996,56005,50000,55018,100000,56020,572,102,0,0,146,3,461479,596018,1003,595708,310,1633,11,1633,11,0,0,1644,30.4285,31.5115
