Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_6_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~800~800~e_RA_fTA~2000~2000~3500~3500~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1580,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
32,6,100000,50000,55045,99999,58534,50000,55045,100000,58534,591,118,0,0,393,7,1029976,1477691,2126,1470609,7082,2036,51,1705,50,0,0,1678,29.7812,30.8721
33,6,100000,50014,55108,99993,59603,50000,55108,100000,59631,572,111,0,0,405,29,998376,1522320,2063,1483387,38933,2058,98,1687,98,0,0,1646,30.3897,29.6543
34,6,100000,50048,55094,99999,57126,50000,55094,100000,57187,595,118,0,0,318,4,868275,1260037,2077,1259353,684,1812,11,1586,11,0,0,1606,31.147,31.5277
35,6,100000,50024,55007,99999,57126,50000,55007,100000,57170,576,106,0,0,338,4,935634,1322894,2164,1322519,375,1869,19,1629,19,0,0,1634,30.594,30.8467
36,6,100000,50000,55011,99991,57042,50000,55011,100000,57170,604,129,0,0,364,4,903333,1299036,2160,1298962,74,1888,3,1636,3,0,0,1653,30.2367,30.1352
37,6,100000,50077,55025,99990,59695,50000,55025,100000,59777,580,113,0,0,468,32,1035652,1534534,2146,1480078,54456,2081,87,1685,87,0,0,1632,30.6094,30.8167
38,6,100000,50031,55261,100000,57071,50000,55261,100000,57170,597,145,0,0,337,3,925083,1326891,1910,1326853,38,1895,7,1668,2,0,0,1695,29.5059,30.7124
39,6,100000,50000,55080,99992,62209,50000,55080,100000,62340,582,107,0,0,457,85,1453851,2085895,2091,1860793,225102,2280,201,1789,201,0,0,1645,30.413,32.2549
40,6,100000,50117,55062,99992,57279,50000,55062,100000,57329,553,134,0,0,341,6,869332,1281408,2109,1279085,2323,1869,24,1623,24,0,0,1630,30.6544,31.6044
41,6,100000,50000,55035,100000,61435,50000,55035,100000,61435,600,111,0,0,453,89,1359444,2050696,2136,1856316,194380,2163,195,1771,195,0,0,1638,30.537,31.9516
42,6,100000,50135,55043,99990,63462,50000,55043,100000,63527,569,117,0,0,450,145,1831561,2568413,2128,2143924,424489,2319,303,1879,301,0,0,1670,29.8874,30.343
43,6,100000,50000,55022,99985,57253,50000,55022,100000,57260,575,103,0,0,365,6,886143,1297113,2149,1296474,639,1878,19,1601,19,0,0,1611,30.9963,30.5365
44,6,100000,50000,55019,99989,59523,50000,55019,100000,59523,599,114,0,0,415,13,1023770,1418935,2152,1410295,8640,2013,52,1653,52,0,0,1623,30.7984,32.6071
45,6,100000,50000,55019,100000,57097,50000,55019,100000,57170,635,114,0,0,329,1,954003,1326344,2152,1326344,0,1878,0,1648,0,0,0,1658,30.1195,30.9238
46,6,100000,50078,55022,99996,62826,50000,55022,100000,62826,542,130,0,0,421,124,1621364,2388458,2149,2069908,318550,2305,268,1866,267,0,0,1693,29.4882,29.2072
47,6,100000,50012,55048,99999,57077,50000,55048,100000,57170,611,107,0,0,336,2,787599,1236412,2123,1236319,93,1805,2,1560,2,0,0,1576,31.741,30.5797
