Lambda_0.01_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_1_Ny_0_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_2_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~800~800~e_RA_fTA~2000~2000~3500~3500~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1580,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,2,100000,50000,55016,99998,99996,50000,55016,100000,100000,20,38,27,0,75,47,1934032,2494017,2155,1377801,1116216,994,879,982,879,0,0,992,50.3582,49.1771
2,2,100000,50000,55022,99999,57500,50000,55022,100000,57603,45,38,0,0,83,12,661692,845209,2149,837986,7223,973,36,971,36,0,0,977,51.1998,51.6134
3,2,100000,50142,55033,99997,99993,50000,55033,100000,100000,26,35,23,0,72,49,2022379,2618919,2138,1442786,1176133,1040,919,1031,918,0,0,1040,48.0905,49.9487
4,2,100000,50000,55009,99994,57267,50000,55009,100000,57326,69,55,0,0,80,9,695028,877605,2162,872420,5185,1043,35,1042,35,0,0,1054,47.4596,46.1788
5,2,100000,50046,55159,99985,57412,50000,55159,100000,57573,46,54,0,0,86,12,701494,839441,2012,832311,7130,993,33,993,33,0,0,1007,49.6024,50.7484
6,2,100000,50008,55059,100000,57355,50000,55059,100000,57355,40,45,0,0,72,7,637426,796617,2112,794259,2358,966,20,966,20,0,0,973,51.3272,51.6642
7,2,100000,50000,55008,99998,57111,50000,55008,100000,57170,45,61,0,0,89,1,713780,884767,2163,884767,0,1044,0,1044,0,0,0,1052,47.5718,46.499
8,2,100000,50077,55025,99998,57125,50000,55025,100000,57170,52,44,0,0,73,1,693299,828733,2146,828733,0,1007,0,1007,0,0,0,1012,49.3877,49.3037
9,2,100000,50000,55232,99999,100000,50000,55232,100000,100000,14,51,33,0,74,50,2221476,2577930,1939,1412409,1165521,1032,924,1021,924,0,0,1031,48.5194,49.067
10,2,100000,50000,55049,99991,57159,50000,55049,100000,57170,62,52,0,0,85,1,632730,821864,2122,821864,0,986,0,986,0,0,0,997,50.1807,48.4796
