Lambda_0.01_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_1_Ny_0_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_2_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~800~800~e_RA_fTA~2000~2000~10~10~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1580,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,2,100000,50000,55020,99990,55964,50000,55020,100000,55972,45,40,0,0,75,10,596062,742820,801,740996,1824,982,10,982,10,0,0,992,50.3582,49.1771
2,2,100000,50000,55022,99999,55820,50000,55022,100000,55922,45,38,0,0,76,2,590702,738610,799,738445,165,973,2,971,1,0,0,977,51.1998,51.6134
3,2,100000,50142,55033,99988,55914,50000,55033,100000,55951,46,38,0,0,70,3,618416,780533,788,780457,76,1030,2,1030,2,0,0,1040,48.0905,49.9487
4,2,100000,50000,55020,99994,55877,50000,55020,100000,55936,69,55,0,0,76,4,629712,784879,801,784656,223,1043,3,1042,3,0,0,1054,47.4596,46.1788
5,2,100000,50046,55159,99985,56018,50000,55159,100000,56025,46,54,0,0,64,6,628948,747935,662,746989,946,993,5,993,5,0,0,1007,49.6024,50.7484
6,2,100000,50008,55059,100000,55690,50000,55059,100000,55820,40,45,0,0,72,2,568362,729606,762,729590,16,966,1,966,1,0,0,973,51.3272,51.6642
7,2,100000,50000,55020,99998,55777,50000,55020,100000,55820,45,61,0,0,69,1,625377,787797,801,787797,0,1044,0,1044,0,0,0,1052,47.5718,46.499
8,2,100000,50077,55025,99998,55621,50000,55025,100000,55820,52,44,0,0,71,1,644184,765569,796,765569,0,1007,0,1007,0,0,0,1012,49.3877,49.3037
9,2,100000,50000,55232,99993,55968,50000,55232,100000,55970,36,62,0,0,75,7,678716,776064,589,775062,1002,1022,6,1021,6,0,0,1031,48.5194,49.067
10,2,100000,50000,55049,99991,55781,50000,55049,100000,55820,62,52,0,0,72,1,583498,742588,772,742588,0,986,0,986,0,0,0,997,50.1807,48.4796
11,2,100000,50052,55020,99999,55838,50000,55020,100000,55842,58,61,0,0,76,2,729043,802451,801,802446,5,1062,1,1061,1,0,0,1068,46.8519,46.9044
12,2,100000,50000,55158,99999,55869,50000,55158,100000,55954,54,50,0,0,78,2,591633,758369,663,758283,86,1001,1,1000,1,0,0,1007,49.6889,48.1985
13,2,100000,50091,55072,99971,55591,50000,55072,100000,55820,48,45,0,0,80,1,578164,725455,749,725455,0,959,0,959,0,0,0,968,51.6422,52.218
14,2,100000,50003,55056,99994,55686,50000,55056,100000,55820,55,41,0,0,71,2,598173,775710,765,775650,60,1021,1,1021,1,0,0,1032,48.4161,49.1033
15,2,100000,50000,55154,99996,55840,50000,55154,100000,55938,52,48,0,0,76,2,621440,761880,667,761781,99,1009,1,1008,1,0,0,1013,49.3903,50.045
16,2,100000,50017,55020,99999,55731,50000,55020,100000,55820,44,46,0,0,71,2,559998,737097,801,737074,23,974,1,974,1,0,0,980,51.0133,48.3028
17,2,100000,50000,55225,99994,55859,50000,55225,100000,55862,46,56,0,0,69,4,618862,744214,596,744202,12,985,3,983,3,0,0,991,50.4798,52.7912
18,2,100000,50256,55062,99999,55844,50000,55062,100000,55859,41,54,0,0,68,2,653877,802697,759,802681,16,1049,1,1048,1,0,0,1057,47.2538,47.0721
19,2,100000,50000,55087,99999,55776,50000,55087,100000,55820,60,70,0,0,74,1,639032,758983,734,758983,0,1015,0,1015,0,0,0,1027,48.6959,49.7154
20,2,100000,50000,55058,99993,55797,50000,55058,100000,55820,41,55,0,0,70,1,520610,720123,763,720123,0,961,0,961,0,0,0,971,51.4979,52.9904
21,2,100000,50016,55035,99995,55836,50000,55035,100000,55952,61,58,0,0,70,3,685529,774076,786,773840,236,1032,2,1032,2,0,0,1039,48.1599,49.8262
22,2,100000,50000,55037,99974,55726,50000,55037,100000,55820,51,31,0,0,70,1,593674,756442,784,756442,0,997,0,997,0,0,0,1005,49.7809,50.6302
23,2,100000,50000,55054,100000,55860,50000,55054,100000,55864,55,67,0,0,68,2,633350,757980,767,757975,5,1005,1,1004,1,0,0,1013,49.3429,50.4447
24,2,100000,50003,55020,99999,55754,50000,55020,100000,55820,50,48,0,0,71,1,617504,774723,801,774723,0,1019,0,1019,0,0,0,1031,48.4282,48.1537
25,2,100000,50007,55045,99995,55772,50000,55045,100000,55820,43,42,0,0,67,1,588814,753935,776,753935,0,990,0,990,0,0,0,999,49.9689,48.7268
26,2,100000,50000,55088,99995,55865,50000,55088,100000,55904,57,52,0,0,75,3,616058,737729,733,737649,80,983,2,983,2,0,0,988,50.6393,54.8007
27,2,100000,50009,55101,99993,55727,50000,55101,100000,55820,61,71,0,0,77,1,640140,771425,720,771425,0,1022,0,1022,0,0,0,1031,48.5204,49.2631
28,2,100000,50016,55114,99983,55947,50000,55114,100000,55950,46,47,0,0,63,2,554631,722878,707,722645,233,952,2,952,2,0,0,961,52.0792,52.3009
29,2,100000,50009,55020,99990,55917,50000,55020,100000,55963,54,42,0,0,67,3,618717,774471,801,774251,220,1016,2,1016,2,0,0,1025,48.8154,48.0663
30,2,100000,50000,55053,99997,55873,50000,55053,100000,55925,54,46,0,0,73,2,609375,753398,768,753275,123,997,2,997,2,0,0,1007,49.6342,49.1369
31,2,100000,50010,55060,99988,55839,50000,55060,100000,55948,47,43,0,0,67,3,583813,714726,761,714506,220,943,2,943,2,0,0,953,52.4968,53.5481
32,2,100000,50000,55020,99984,55906,50000,55020,100000,55931,58,37,0,0,70,2,662610,792494,801,792468,26,1040,1,1040,1,0,0,1047,47.7916,48.8534
33,2,100000,50142,55020,100000,56028,50000,55020,100000,56044,56,54,0,0,71,3,646179,737722,801,737288,434,979,3,979,2,0,0,984,50.7447,52.133
34,2,100000,50000,55119,99992,55869,50000,55119,100000,56069,52,50,0,0,73,2,669468,818652,702,818451,201,1073,1,1073,1,0,0,1081,46.2889,45.7562
35,2,100000,50118,55039,99997,55757,50000,55039,100000,55820,72,39,0,0,72,1,587456,753943,782,753943,0,999,0,999,0,0,0,1008,49.6246,49.2035
36,2,100000,50000,55038,99996,55732,50000,55038,100000,55820,59,54,0,0,67,1,667561,774087,783,774087,0,1018,0,1018,0,0,0,1021,48.9873,47.7943
37,2,100000,50000,55020,99998,55863,50000,55020,100000,55876,54,51,0,0,78,2,635470,776467,801,776438,29,1034,2,1034,2,0,0,1042,48.0279,49.0746
38,2,100000,50000,55024,99999,55744,50000,55024,100000,55820,52,52,0,0,90,1,699680,818312,797,818312,0,1075,0,1074,0,0,0,1084,46.1634,44.4109
39,2,100000,50000,55020,99994,55839,50000,55020,100000,55839,48,55,0,0,63,4,486009,688077,801,687935,142,923,6,923,6,0,0,931,53.7495,53.8393
40,2,100000,50041,55078,99985,55818,50000,55078,100000,55824,51,48,0,0,64,2,572427,742877,743,742870,7,983,1,983,1,0,0,992,50.4218,49.6637
