from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,500,0,1363,0
0,81,0,0,0,-200,543,1
0,82,0,0,-200,0,2362,2
0,9,0,0,0,500,1444,3
1,2,500,0,1000,0,965,0
1,83,500,0,500,-200,3008,1
1,0,500,0,0,0,1029,2
1,10,500,0,500,500,1584,3
2,3,1000,0,1500,0,1441,0
2,84,1000,0,1000,-200,820,1
2,1,1000,0,500,0,1266,2
2,11,1000,0,1000,500,1671,3
3,4,1500,0,2000,0,1019,0
3,85,1500,0,1500,-200,956,1
3,2,1500,0,1000,0,1407,2
3,12,1500,0,1500,500,1632,3
4,5,2000,0,2500,0,1227,0
4,86,2000,0,2000,-200,1525,1
4,3,2000,0,1500,0,1303,2
4,13,2000,0,2000,500,1376,3
5,6,2500,0,3000,0,1860,0
5,87,2500,0,2500,-200,1548,1
5,4,2500,0,2000,0,977,2
5,14,2500,0,2500,500,772,3
6,7,3000,0,3500,0,1078,0
6,88,3000,0,3000,-200,2272,1
6,5,3000,0,2500,0,792,2
6,15,3000,0,3000,500,2313,3
7,8,3500,0,4000,0,1363,0
7,89,3500,0,3500,-200,2588,1
7,6,3500,0,3000,0,2129,2
7,16,3500,0,3500,500,1451,3
8,90,4000,0,4200,0,1121,0
8,91,4000,0,4000,-200,1030,1
8,7,4000,0,3500,0,1747,2
8,17,4000,0,4000,500,1256,3
9,10,0,500,500,500,1909,0
9,0,0,500,0,0,1660,1
9,92,0,500,-200,500,832,2
9,18,0,500,0,1000,1774,3
10,11,500,500,1000,500,1547,0
10,1,500,500,500,0,2481,1
10,9,500,500,0,500,1292,2
10,19,500,500,500,1000,1549,3
11,12,1000,500,1500,500,2051,0
11,2,1000,500,1000,0,1339,1
11,10,1000,500,500,500,1293,2
11,20,1000,500,1000,1000,1647,3
12,13,1500,500,2000,500,2718,0
12,3,1500,500,1500,0,783,1
12,11,1500,500,1000,500,1705,2
12,21,1500,500,1500,1000,1673,3
13,14,2000,500,2500,500,2439,0
13,4,2000,500,2000,0,1898,1
13,12,2000,500,1500,500,1245,2
13,22,2000,500,2000,1000,1275,3
14,15,2500,500,3000,500,1314,0
14,5,2500,500,2500,0,1687,1
14,13,2500,500,2000,500,1118,2
14,23,2500,500,2500,1000,1312,3
15,16,3000,500,3500,500,1756,0
15,6,3000,500,3000,0,1039,1
15,14,3000,500,2500,500,1454,2
15,24,3000,500,3000,1000,1474,3
16,17,3500,500,4000,500,521,0
16,7,3500,500,3500,0,3148,1
16,15,3500,500,3000,500,1557,2
16,25,3500,500,3500,1000,2114,3
17,93,4000,500,4200,500,655,0
17,8,4000,500,4000,0,928,1
17,16,4000,500,3500,500,1945,2
17,26,4000,500,4000,1000,940,3
18,19,0,1000,500,1000,1546,0
18,9,0,1000,0,500,1989,1
18,94,0,1000,-200,1000,2646,2
18,27,0,1000,0,1500,1369,3
19,20,500,1000,1000,1000,680,0
19,10,500,1000,500,500,2110,1
19,18,500,1000,0,1000,1647,2
19,28,500,1000,500,1500,2154,3
20,21,1000,1000,1500,1000,1440,0
20,11,1000,1000,1000,500,1426,1
20,19,1000,1000,500,1000,2251,2
20,29,1000,1000,1000,1500,1165,3
21,22,1500,1000,2000,1000,1476,0
21,12,1500,1000,1500,500,1976,1
21,20,1500,1000,1000,1000,529,2
21,30,1500,1000,1500,1500,1514,3
22,23,2000,1000,2500,1000,1750,0
22,13,2000,1000,2000,500,1667,1
22,21,2000,1000,1500,1000,852,2
22,31,2000,1000,2000,1500,896,3
23,24,2500,1000,3000,1000,852,0
23,14,2500,1000,2500,500,777,1
23,22,2500,1000,2000,1000,986,2
23,32,2500,1000,2500,1500,2831,3
24,25,3000,1000,3500,1000,812,0
24,15,3000,1000,3000,500,561,1
24,23,3000,1000,2500,1000,1745,2
24,33,3000,1000,3000,1500,863,3
25,26,3500,1000,4000,1000,628,0
25,16,3500,1000,3500,500,2222,1
25,24,3500,1000,3000,1000,1097,2
25,34,3500,1000,3500,1500,2019,3
26,95,4000,1000,4200,1000,1037,0
26,17,4000,1000,4000,500,1203,1
26,25,4000,1000,3500,1000,857,2
26,35,4000,1000,4000,1500,1107,3
27,28,0,1500,500,1500,2026,0
27,18,0,1500,0,1000,2671,1
27,96,0,1500,-200,1500,1140,2
27,36,0,1500,0,2000,1171,3
28,29,500,1500,1000,1500,1604,0
28,19,500,1500,500,1000,1272,1
28,27,500,1500,0,1500,1558,2
28,37,500,1500,500,2000,1986,3
29,30,1000,1500,1500,1500,1153,0
29,20,1000,1500,1000,1000,3450,1
29,28,1000,1500,500,1500,710,2
29,38,1000,1500,1000,2000,1188,3
30,31,1500,1500,2000,1500,1550,0
30,21,1500,1500,1500,1000,1550,1
30,29,1500,1500,1000,1500,2275,2
30,39,1500,1500,1500,2000,1211,3
31,32,2000,1500,2500,1500,376,0
31,22,2000,1500,2000,1000,1445,1
31,30,2000,1500,1500,1500,1840,2
31,40,2000,1500,2000,2000,2001,3
32,33,2500,1500,3000,1500,1110,0
32,23,2500,1500,2500,1000,662,1
32,31,2500,1500,2000,1500,1012,2
32,41,2500,1500,2500,2000,1620,3
33,34,3000,1500,3500,1500,977,0
33,24,3000,1500,3000,1000,569,1
33,32,3000,1500,2500,1500,902,2
33,42,3000,1500,3000,2000,1503,3
34,35,3500,1500,4000,1500,487,0
34,25,3500,1500,3500,1000,2207,1
34,33,3500,1500,3000,1500,783,2
34,43,3500,1500,3500,2000,2114,3
35,97,4000,1500,4200,1500,1018,0
35,26,4000,1500,4000,1000,1180,1
35,34,4000,1500,3500,1500,1446,2
35,44,4000,1500,4000,2000,1068,3
36,37,0,2000,500,2000,1359,0
36,27,0,2000,0,1500,2602,1
36,98,0,2000,-200,2000,685,2
36,45,0,2000,0,2500,1852,3
37,38,500,2000,1000,2000,2974,0
37,28,500,2000,500,1500,1556,1
