from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,500,0,1356,0
0,81,0,0,0,-200,1266,1
0,82,0,0,-200,0,1167,2
0,9,0,0,0,500,1356,3
1,2,500,0,1000,0,531,0
1,83,500,0,500,-200,310,1
1,0,500,0,0,0,962,2
1,10,500,0,500,500,2234,3
2,3,1000,0,1500,0,957,0
2,84,1000,0,1000,-200,1756,1
2,1,1000,0,500,0,640,2
2,11,1000,0,1000,500,384,3
3,4,1500,0,2000,0,1255,0
3,85,1500,0,1500,-200,1003,1
3,2,1500,0,1000,0,727,2
3,12,1500,0,1500,500,1631,3
4,5,2000,0,2500,0,1797,0
4,86,2000,0,2000,-200,1137,1
4,3,2000,0,1500,0,650,2
4,13,2000,0,2000,500,2116,3
5,6,2500,0,3000,0,1734,0
5,87,2500,0,2500,-200,1227,1
5,4,2500,0,2000,0,1463,2
5,14,2500,0,2500,500,1402,3
6,7,3000,0,3500,0,1101,0
6,88,3000,0,3000,-200,2216,1
6,5,3000,0,2500,0,1178,2
6,15,3000,0,3000,500,1595,3
7,8,3500,0,4000,0,1299,0
7,89,3500,0,3500,-200,1757,1
7,6,3500,0,3000,0,2335,2
7,16,3500,0,3500,500,1944,3
8,90,4000,0,4200,0,1376,0
8,91,4000,0,4000,-200,1302,1
8,7,4000,0,3500,0,1960,2
8,17,4000,0,4000,500,1273,3
9,10,0,500,500,500,1209,0
9,0,0,500,0,0,1136,1
9,92,0,500,-200,500,1258,2
9,18,0,500,0,1000,1362,3
10,11,500,500,1000,500,867,0
10,1,500,500,500,0,571,1
10,9,500,500,0,500,1385,2
10,19,500,500,500,1000,2010,3
11,12,1000,500,1500,500,1080,0
11,2,1000,500,1000,0,987,1
11,10,1000,500,500,500,1104,2
11,20,1000,500,1000,1000,1286,3
12,13,1500,500,2000,500,1111,0
12,3,1500,500,1500,0,1504,1
12,11,1500,500,1000,500,1772,2
12,21,1500,500,1500,1000,2249,3
13,14,2000,500,2500,500,795,0
13,4,2000,500,2000,0,1419,1
13,12,2000,500,1500,500,2565,2
13,22,2000,500,2000,1000,629,3
14,15,2500,500,3000,500,1823,0
