from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,500,0,1341,0
0,81,0,0,0,-200,1113,1
0,82,0,0,-200,0,1121,2
0,9,0,0,0,500,1734,3
1,2,500,0,1000,0,1417,0
1,83,500,0,500,-200,3518,1
1,0,500,0,0,0,1108,2
1,10,500,0,500,500,1357,3
2,3,1000,0,1500,0,865,0
2,84,1000,0,1000,-200,1248,1
2,1,1000,0,500,0,869,2
2,11,1000,0,1000,500,804,3
3,4,1500,0,2000,0,947,0
3,85,1500,0,1500,-200,1064,1
3,2,1500,0,1000,0,402,2
3,12,1500,0,1500,500,2832,3
4,5,2000,0,2500,0,913,0
4,86,2000,0,2000,-200,1592,1
4,3,2000,0,1500,0,1653,2
4,13,2000,0,2000,500,1050,3
5,6,2500,0,3000,0,1408,0
5,87,2500,0,2500,-200,530,1
5,4,2500,0,2000,0,2055,2
5,14,2500,0,2500,500,1324,3
6,7,3000,0,3500,0,550,0
6,88,3000,0,3000,-200,1938,1
6,5,3000,0,2500,0,1541,2
6,15,3000,0,3000,500,1281,3
7,8,3500,0,4000,0,1087,0
7,89,3500,0,3500,-200,361,1
7,6,3500,0,3000,0,1104,2
7,16,3500,0,3500,500,1661,3
8,90,4000,0,4200,0,1357,0
8,91,4000,0,4000,-200,1113,1
8,7,4000,0,3500,0,920,2
8,17,4000,0,4000,500,1613,3
9,10,0,500,500,500,2365,0
9,0,0,500,0,0,1278,1
9,92,0,500,-200,500,1000,2
9,18,0,500,0,1000,1558,3
10,11,500,500,1000,500,1108,0
10,1,500,500,500,0,3806,1
10,9,500,500,0,500,1406,2
10,19,500,500,500,1000,1699,3
11,12,1000,500,1500,500,1199,0
11,2,1000,500,1000,0,482,1
11,10,1000,500,500,500,3633,2
11,20,1000,500,1000,1000,1567,3
12,13,1500,500,2000,500,623,0
12,3,1500,500,1500,0,1246,1
12,11,1500,500,1000,500,1805,2
12,21,1500,500,1500,1000,2621,3
13,14,2000,500,2500,500,1572,0
13,4,2000,500,2000,0,739,1
13,12,2000,500,1500,500,910,2
13,22,2000,500,2000,1000,736,3
14,15,2500,500,3000,500,1461,0
14,5,2500,500,2500,0,1320,1
14,13,2500,500,2000,500,1172,2
14,23,2500,500,2500,1000,1360,3
15,16,3000,500,3500,500,1562,0
15,6,3000,500,3000,0,1258,1
15,14,3000,500,2500,500,1132,2
15,24,3000,500,3000,1000,1685,3
16,17,3500,500,4000,500,1410,0
16,7,3500,500,3500,0,1233,1
16,15,3500,500,3000,500,1766,2
16,25,3500,500,3500,1000,1891,3
17,93,4000,500,4200,500,1438,0
17,8,4000,500,4000,0,963,1
17,16,4000,500,3500,500,1538,2
17,26,4000,500,4000,1000,1023,3
18,19,0,1000,500,1000,1106,0
18,9,0,1000,0,500,1611,1
18,94,0,1000,-200,1000,1271,2
18,27,0,1000,0,1500,1367,3
19,20,500,1000,1000,1000,1460,0
19,10,500,1000,500,500,690,1
19,18,500,1000,0,1000,535,2
19,28,500,1000,500,1500,2713,3
20,21,1000,1000,1500,1000,693,0
20,11,1000,1000,1000,500,3186,1
20,19,1000,1000,500,1000,1957,2
20,29,1000,1000,1000,1500,1621,3
21,22,1500,1000,2000,1000,1213,0
21,12,1500,1000,1500,500,1380,1
21,20,1500,1000,1000,1000,3175,2
21,30,1500,1000,1500,1500,1895,3
22,23,2000,1000,2500,1000,1236,0
22,13,2000,1000,2000,500,1127,1
22,21,2000,1000,1500,1000,2400,2
22,31,2000,1000,2000,1500,635,3
23,24,2500,1000,3000,1000,1257,0
23,14,2500,1000,2500,500,1307,1
23,22,2500,1000,2000,1000,776,2
23,32,2500,1000,2500,1500,1071,3
24,25,3000,1000,3500,1000,1441,0
24,15,3000,1000,3000,500,1159,1
24,23,3000,1000,2500,1000,1115,2
24,33,3000,1000,3000,1500,1522,3
25,26,3500,1000,4000,1000,1570,0
25,16,3500,1000,3500,500,1558,1
25,24,3500,1000,3000,1000,1275,2
25,34,3500,1000,3500,1500,1667,3
26,95,4000,1000,4200,1000,2733,0
26,17,4000,1000,4000,500,493,1
26,25,4000,1000,3500,1000,1388,2
26,35,4000,1000,4000,1500,1135,3
27,28,0,1500,500,1500,1623,0
27,18,0,1500,0,1000,1833,1
27,96,0,1500,-200,1500,606,2
27,36,0,1500,0,2000,1212,3
28,29,500,1500,1000,1500,2204,0
28,19,500,1500,500,1000,653,1
28,27,500,1500,0,1500,1081,2
28,37,500,1500,500,2000,2869,3
29,30,1000,1500,1500,1500,2177,0
29,20,1000,1500,1000,1000,1281,1
29,28,1000,1500,500,1500,868,2
29,38,1000,1500,1000,2000,1790,3
30,31,1500,1500,2000,1500,2654,0
30,21,1500,1500,1500,1000,1976,1
30,29,1500,1500,1000,1500,963,2
30,39,1500,1500,1500,2000,1192,3
31,32,2000,1500,2500,1500,2303,0
31,22,2000,1500,2000,1000,2683,1
31,30,2000,1500,1500,1500,1452,2
31,40,2000,1500,2000,2000,567,3
32,33,2500,1500,3000,1500,1450,0
32,23,2500,1500,2500,1000,722,1
32,31,2500,1500,2000,1500,1813,2
32,41,2500,1500,2500,2000,1796,3
33,34,3000,1500,3500,1500,1957,0
33,24,3000,1500,3000,1000,1037,1
33,32,3000,1500,2500,1500,1071,2
33,42,3000,1500,3000,2000,1247,3
34,35,3500,1500,4000,1500,2107,0
34,25,3500,1500,3500,1000,1366,1
34,33,3500,1500,3000,1500,1078,2
34,43,3500,1500,3500,2000,1709,3
35,97,4000,1500,4200,1500,1157,0
35,26,4000,1500,4000,1000,1627,1
35,34,4000,1500,3500,1500,829,2
35,44,4000,1500,4000,2000,2261,3
36,37,0,2000,500,2000,754,0
36,27,0,2000,0,1500,1304,1
36,98,0,2000,-200,2000,391,2
36,45,0,2000,0,2500,3123,3
37,38,500,2000,1000,2000,1810,0
37,28,500,2000,500,1500,1630,1
37,36,500,2000,0,2000,2215,2
37,46,500,2000,500,2500,990,3
38,39,1000,2000,1500,2000,1862,0
38,29,1000,2000,1000,1500,1349,1
38,37,1000,2000,500,2000,1487,2
38,47,1000,2000,1000,2500,1591,3
39,40,1500,2000,2000,2000,632,0
39,30,1500,2000,1500,1500,1284,1
39,38,1500,2000,1000,2000,1116,2
39,48,1500,2000,1500,2500,2240,3
40,41,2000,2000,2500,2000,523,0
40,31,2000,2000,2000,1500,1924,1
40,39,2000,2000,1500,2000,558,2
40,49,2000,2000,2000,2500,565,3
41,42,2500,2000,3000,2000,1806,0
41,32,2500,2000,2500,1500,1355,1
41,40,2500,2000,2000,2000,1812,2
41,50,2500,2000,2500,2500,2114,3
42,43,3000,2000,3500,2000,1089,0
42,33,3000,2000,3000,1500,1286,1
42,41,3000,2000,2500,2000,1395,2
42,51,3000,2000,3000,2500,784,3
43,44,3500,2000,4000,2000,1225,0
43,34,3500,2000,3500,1500,1829,1
43,42,3500,2000,3000,2000,1100,2
43,52,3500,2000,3500,2500,1874,3
44,99,4000,2000,4200,2000,1687,0
44,35,4000,2000,4000,1500,1187,1
44,43,4000,2000,3500,2000,1936,2
44,53,4000,2000,4000,2500,2092,3
45,46,0,2500,500,2500,1456,0
45,36,0,2500,0,2000,709,1
45,100,0,2500,-200,2500,2899,2
45,54,0,2500,0,3000,1852,3
46,47,500,2500,1000,2500,1317,0
46,37,500,2500,500,2000,1554,1
46,45,500,2500,0,2500,1168,2
46,55,500,2500,500,3000,1265,3
47,48,1000,2500,1500,2500,2120,0
47,38,1000,2500,1000,2000,1593,1
47,46,1000,2500,500,2500,1343,2
47,56,1000,2500,1000,3000,1189,3
48,49,1500,2500,2000,2500,1397,0
48,39,1500,2500,1500,2000,1682,1
48,47,1500,2500,1000,2500,2009,2
