from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,1000,0,411,0
0,25,0,0,0,-200,2318,1
0,26,0,0,-200,0,817,2
0,5,0,0,0,1000,1867,3
1,2,1000,0,2000,0,551,0
1,27,1000,0,1000,-200,2436,1
1,0,1000,0,0,0,533,2
1,6,1000,0,1000,1000,1577,3
2,3,2000,0,3000,0,968,0
2,28,2000,0,2000,-200,364,1
2,1,2000,0,1000,0,888,2
2,7,2000,0,2000,1000,1180,3
3,4,3000,0,4000,0,1593,0
3,29,3000,0,3000,-200,1460,1
3,2,3000,0,2000,0,823,2
3,8,3000,0,3000,1000,1446,3
4,30,4000,0,4200,0,1362,0
4,31,4000,0,4000,-200,1991,1
4,3,4000,0,3000,0,1388,2
4,9,4000,0,4000,1000,1356,3
5,6,0,1000,1000,1000,1869,0
5,0,0,1000,0,0,1924,1
5,32,0,1000,-200,1000,1101,2
5,10,0,1000,0,2000,1867,3
6,7,1000,1000,2000,1000,547,0
6,1,1000,1000,1000,0,2361,1
6,5,1000,1000,0,1000,948,2
6,11,1000,1000,1000,2000,2465,3
7,8,2000,1000,3000,1000,1833,0
7,2,2000,1000,2000,0,542,1
7,6,2000,1000,1000,1000,2648,2
7,12,2000,1000,2000,2000,1106,3
8,9,3000,1000,4000,1000,1920,0
8,3,3000,1000,3000,0,1516,1
8,7,3000,1000,2000,1000,2642,2
8,13,3000,1000,3000,2000,1188,3
9,33,4000,1000,4200,1000,2222,0
9,4,4000,1000,4000,0,1581,1
9,8,4000,1000,3000,1000,2014,2
9,14,4000,1000,4000,2000,551,3
10,11,0,2000,1000,2000,1361,0
10,5,0,2000,0,1000,2521,1
10,34,0,2000,-200,2000,661,2
10,15,0,2000,0,3000,2745,3
11,12,1000,2000,2000,2000,2961,0
11,6,1000,2000,1000,1000,266,1
11,10,1000,2000,0,2000,3269,2
11,16,1000,2000,1000,3000,1844,3
12,13,2000,2000,3000,2000,2081,0
12,7,2000,2000,2000,1000,1805,1
12,11,2000,2000,1000,2000,2364,2
12,17,2000,2000,2000,3000,1028,3
13,14,3000,2000,4000,2000,1377,0
13,8,3000,2000,3000,1000,2018,1
13,12,3000,2000,2000,2000,721,2
13,18,3000,2000,3000,3000,1060,3
14,35,4000,2000,4200,2000,787,0
14,9,4000,2000,4000,1000,1640,1
14,13,4000,2000,3000,2000,989,2
14,19,4000,2000,4000,3000,949,3
15,16,0,3000,1000,3000,698,0
15,10,0,3000,0,2000,698,1
15,36,0,3000,-200,3000,1942,2
15,20,0,3000,0,4000,3872,3
16,17,1000,3000,2000,3000,530,0
16,11,1000,3000,1000,2000,2231,1
16,15,1000,3000,0,3000,2009,2
16,21,1000,3000,1000,4000,1067,3
17,18,2000,3000,3000,3000,386,0
17,12,2000,3000,2000,2000,2527,1
17,16,2000,3000,1000,3000,1380,2
17,22,2000,3000,2000,4000,831,3
18,19,3000,3000,4000,3000,1161,0
18,13,3000,3000,3000,2000,952,1
18,17,3000,3000,2000,3000,1335,2
18,23,3000,3000,3000,4000,1063,3
19,37,4000,3000,4200,3000,1491,0
19,14,4000,3000,4000,2000,979,1
19,18,4000,3000,3000,3000,1149,2
19,24,4000,3000,4000,4000,1000,3
20,21,0,4000,1000,4000,2599,0
20,15,0,4000,0,3000,983,1
20,38,0,4000,-200,4000,1262,2
20,39,0,4000,0,4200,2705,3
21,22,1000,4000,2000,4000,1027,0
21,16,1000,4000,1000,3000,1961,1
21,20,1000,4000,0,4000,738,2
21,40,1000,4000,1000,4200,2307,3
22,23,2000,4000,3000,4000,936,0
22,17,2000,4000,2000,3000,2266,1
22,21,2000,4000,1000,4000,849,2
22,41,2000,4000,2000,4200,1177,3
23,24,3000,4000,4000,4000,528,0
23,18,3000,4000,3000,3000,1945,1
23,22,3000,4000,2000,4000,1899,2
23,42,3000,4000,3000,4200,699,3
24,43,4000,4000,4200,4000,849,0
24,19,4000,4000,4000,3000,1005,1
24,23,4000,4000,3000,4000,1525,2
24,44,4000,4000,4000,4200,1144,3
25,0,0,-200,0,0,1489,3
26,0,-200,0,0,0,1487,0
27,1,1000,-200,1000,0,1460,3
28,2,2000,-200,2000,0,1496,3
29,3,3000,-200,3000,0,1483,3
30,4,4200,0,4000,0,1489,2
31,4,4000,-200,4000,0,1458,3
32,5,-200,1000,0,1000,1472,0
33,9,4200,1000,4000,1000,1487,2
34,10,-200,2000,0,2000,1498,0
35,14,4200,2000,4000,2000,1477,2
36,15,-200,3000,0,3000,1518,0
37,19,4200,3000,4000,3000,1530,2
38,20,-200,4000,0,4000,1453,0
39,20,0,4200,0,4000,1528,1
40,21,1000,4200,1000,4000,1536,1
41,22,2000,4200,2000,4000,1502,1
42,23,3000,4200,3000,4000,1572,1
43,24,4200,4000,4000,4000,1483,2
44,24,4000,4200,4000,4000,1525,1
