from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,1000,0,2186,0
0,25,0,0,0,-200,906,1
0,26,0,0,-200,0,1009,2
0,5,0,0,0,1000,1252,3
1,2,1000,0,2000,0,969,0
1,27,1000,0,1000,-200,1390,1
1,0,1000,0,0,0,888,2
1,6,1000,0,1000,1000,2210,3
2,3,2000,0,3000,0,1083,0
2,28,2000,0,2000,-200,1423,1
2,1,2000,0,1000,0,1046,2
2,7,2000,0,2000,1000,1082,3
3,4,3000,0,4000,0,1319,0
3,29,3000,0,3000,-200,1549,1
3,2,3000,0,2000,0,988,2
3,8,3000,0,3000,1000,1464,3
4,30,4000,0,4200,0,1618,0
4,31,4000,0,4000,-200,1253,1
4,3,4000,0,3000,0,1690,2
4,9,4000,0,4000,1000,1779,3
5,6,0,1000,1000,1000,1338,0
5,0,0,1000,0,0,1460,1
5,32,0,1000,-200,1000,1614,2
5,10,0,1000,0,2000,1732,3
6,7,1000,1000,2000,1000,2173,0
6,1,1000,1000,1000,0,773,1
6,5,1000,1000,0,1000,2299,2
6,11,1000,1000,1000,2000,1563,3
7,8,2000,1000,3000,1000,1967,0
7,2,2000,1000,2000,0,1196,1
7,6,2000,1000,1000,1000,1648,2
7,12,2000,1000,2000,2000,1358,3
8,9,3000,1000,4000,1000,1185,0
8,3,3000,1000,3000,0,1002,1
8,7,3000,1000,2000,1000,1712,2
8,13,3000,1000,3000,2000,1677,3
9,33,4000,1000,4200,1000,1762,0
9,4,4000,1000,4000,0,2013,1
9,8,4000,1000,3000,1000,1461,2
9,14,4000,1000,4000,2000,1174,3
10,11,0,2000,1000,2000,1254,0
10,5,0,2000,0,1000,1172,1
10,34,0,2000,-200,2000,2124,2
10,15,0,2000,0,3000,2441,3
11,12,1000,2000,2000,2000,1005,0
11,6,1000,2000,1000,1000,1660,1
11,10,1000,2000,0,2000,2589,2
11,16,1000,2000,1000,3000,1549,3
12,13,2000,2000,3000,2000,1137,0
12,7,2000,2000,2000,1000,1238,1
12,11,2000,2000,1000,2000,2253,2
12,17,2000,2000,2000,3000,943,3
13,14,3000,2000,4000,2000,1754,0
13,8,3000,2000,3000,1000,715,1
13,12,3000,2000,2000,2000,1621,2
13,18,3000,2000,3000,3000,905,3
14,35,4000,2000,4200,2000,973,0
14,9,4000,2000,4000,1000,1992,1
14,13,4000,2000,3000,2000,1663,2
14,19,4000,2000,4000,3000,1688,3
15,16,0,3000,1000,3000,1800,0
15,10,0,3000,0,2000,1218,1
15,36,0,3000,-200,3000,2283,2
15,20,0,3000,0,4000,1202,3
16,17,1000,3000,2000,3000,1386,0
16,11,1000,3000,1000,2000,1785,1
16,15,1000,3000,0,3000,1188,2
16,21,1000,3000,1000,4000,1628,3
17,18,2000,3000,3000,3000,1867,0
17,12,2000,3000,2000,2000,1627,1
17,16,2000,3000,1000,3000,1436,2
17,22,2000,3000,2000,4000,973,3
18,19,3000,3000,4000,3000,1771,0
18,13,3000,3000,3000,2000,550,1
18,17,3000,3000,2000,3000,1605,2
18,23,3000,3000,3000,4000,1535,3
19,37,4000,3000,4200,3000,2330,0
19,14,4000,3000,4000,2000,1937,1
19,18,4000,3000,3000,3000,2079,2
19,24,4000,3000,4000,4000,926,3
20,21,0,4000,1000,4000,1608,0
20,15,0,4000,0,3000,1473,1
20,38,0,4000,-200,4000,1594,2
20,39,0,4000,0,4200,882,3
21,22,1000,4000,2000,4000,1096,0
21,16,1000,4000,1000,3000,1245,1
21,20,1000,4000,0,4000,1383,2
21,40,1000,4000,1000,4200,2598,3
22,23,2000,4000,3000,4000,889,0
22,17,2000,4000,2000,3000,2022,1
22,21,2000,4000,1000,4000,1685,2
22,41,2000,4000,2000,4200,955,3
23,24,3000,4000,4000,4000,1289,0
23,18,3000,4000,3000,3000,654,1
23,22,3000,4000,2000,4000,2045,2
23,42,3000,4000,3000,4200,1191,3
24,43,4000,4000,4200,4000,575,0
24,19,4000,4000,4000,3000,2331,1
24,23,4000,4000,3000,4000,1302,2
24,44,4000,4000,4000,4200,979,3
25,0,0,-200,0,0,1516,3
26,0,-200,0,0,0,1508,0
27,1,1000,-200,1000,0,1475,3
28,2,2000,-200,2000,0,1501,3
29,3,3000,-200,3000,0,1579,3
30,4,4200,0,4000,0,1554,2
31,4,4000,-200,4000,0,1478,3
32,5,-200,1000,0,1000,1454,0
33,9,4200,1000,4000,1000,1491,2
34,10,-200,2000,0,2000,1491,0
35,14,4200,2000,4000,2000,1484,2
36,15,-200,3000,0,3000,1432,0
37,19,4200,3000,4000,3000,1513,2
38,20,-200,4000,0,4000,1461,0
39,20,0,4200,0,4000,1534,1
40,21,1000,4200,1000,4000,1432,1
41,22,2000,4200,2000,4000,1476,1
42,23,3000,4200,3000,4000,1482,1
43,24,4200,4000,4000,4000,1407,2
44,24,4000,4200,4000,4000,1573,1
