from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,1000,0,1305,0
0,25,0,0,0,-200,2898,1
0,26,0,0,-200,0,1414,2
0,5,0,0,0,1000,1583,3
1,2,1000,0,2000,0,988,0
1,27,1000,0,1000,-200,845,1
1,0,1000,0,0,0,1742,2
1,6,1000,0,1000,1000,1265,3
2,3,2000,0,3000,0,2383,0
2,28,2000,0,2000,-200,1640,1
2,1,2000,0,1000,0,1021,2
2,7,2000,0,2000,1000,1126,3
3,4,3000,0,4000,0,2525,0
3,29,3000,0,3000,-200,1894,1
3,2,3000,0,2000,0,1373,2
3,8,3000,0,3000,1000,1005,3
4,30,4000,0,4200,0,1598,0
4,31,4000,0,4000,-200,1524,1
4,3,4000,0,3000,0,1214,2
4,9,4000,0,4000,1000,2269,3
5,6,0,1000,1000,1000,1057,0
5,0,0,1000,0,0,2520,1
5,32,0,1000,-200,1000,1262,2
5,10,0,1000,0,2000,1820,3
6,7,1000,1000,2000,1000,1382,0
6,1,1000,1000,1000,0,1060,1
6,5,1000,1000,0,1000,1565,2
6,11,1000,1000,1000,2000,1136,3
7,8,2000,1000,3000,1000,1609,0
7,2,2000,1000,2000,0,2387,1
7,6,2000,1000,1000,1000,1247,2
7,12,2000,1000,2000,2000,1071,3
8,9,3000,1000,4000,1000,656,0
8,3,3000,1000,3000,0,1727,1
8,7,3000,1000,2000,1000,1597,2
8,13,3000,1000,3000,2000,1216,3
9,33,4000,1000,4200,1000,585,0
9,4,4000,1000,4000,0,1067,1
9,8,4000,1000,3000,1000,1736,2
9,14,4000,1000,4000,2000,2405,3
10,11,0,2000,1000,2000,2116,0
10,5,0,2000,0,1000,2024,1
10,34,0,2000,-200,2000,991,2
10,15,0,2000,0,3000,1000,3
11,12,1000,2000,2000,2000,1981,0
11,6,1000,2000,1000,1000,1614,1
11,10,1000,2000,0,2000,782,2
11,16,1000,2000,1000,3000,1699,3
12,13,2000,2000,3000,2000,591,0
12,7,2000,2000,2000,1000,2249,1
12,11,2000,2000,1000,2000,1259,2
12,17,2000,2000,2000,3000,1849,3
13,14,3000,2000,4000,2000,892,0
13,8,3000,2000,3000,1000,885,1
13,12,3000,2000,2000,2000,950,2
13,18,3000,2000,3000,3000,1100,3
14,35,4000,2000,4200,2000,1485,0
14,9,4000,2000,4000,1000,1465,1
14,13,4000,2000,3000,2000,827,2
14,19,4000,2000,4000,3000,2084,3
15,16,0,3000,1000,3000,1526,0
15,10,0,3000,0,2000,2087,1
15,36,0,3000,-200,3000,1007,2
15,20,0,3000,0,4000,858,3
16,17,1000,3000,2000,3000,2453,0
16,11,1000,3000,1000,2000,1613,1
16,15,1000,3000,0,3000,1559,2
16,21,1000,3000,1000,4000,604,3
17,18,2000,3000,3000,3000,1307,0
17,12,2000,3000,2000,2000,1979,1
17,16,2000,3000,1000,3000,1393,2
17,22,2000,3000,2000,4000,2112,3
18,19,3000,3000,4000,3000,1597,0
18,13,3000,3000,3000,2000,1223,1
18,17,3000,3000,2000,3000,687,2
18,23,3000,3000,3000,4000,821,3
19,37,4000,3000,4200,3000,1501,0
19,14,4000,3000,4000,2000,1039,1
19,18,4000,3000,3000,3000,614,2
19,24,4000,3000,4000,4000,2768,3
20,21,0,4000,1000,4000,1648,0
20,15,0,4000,0,3000,1463,1
20,38,0,4000,-200,4000,1565,2
20,39,0,4000,0,4200,698,3
21,22,1000,4000,2000,4000,1288,0
21,16,1000,4000,1000,3000,1653,1
21,20,1000,4000,0,4000,1542,2
21,40,1000,4000,1000,4200,713,3
22,23,2000,4000,3000,4000,1586,0
22,17,2000,4000,2000,3000,1848,1
22,21,2000,4000,1000,4000,1465,2
22,41,2000,4000,2000,4200,1925,3
23,24,3000,4000,4000,4000,847,0
23,18,3000,4000,3000,3000,1333,1
23,22,3000,4000,2000,4000,1978,2
23,42,3000,4000,3000,4200,1890,3
24,43,4000,4000,4200,4000,1458,0
24,19,4000,4000,4000,3000,765,1
24,23,4000,4000,3000,4000,2194,2
24,44,4000,4000,4000,4200,2113,3
25,0,0,-200,0,0,1531,3
26,0,-200,0,0,0,1435,0
27,1,1000,-200,1000,0,1487,3
28,2,2000,-200,2000,0,1454,3
29,3,3000,-200,3000,0,1507,3
30,4,4200,0,4000,0,1498,2
31,4,4000,-200,4000,0,1529,3
32,5,-200,1000,0,1000,1528,0
33,9,4200,1000,4000,1000,1432,2
34,10,-200,2000,0,2000,1468,0
35,14,4200,2000,4000,2000,1563,2
36,15,-200,3000,0,3000,1493,0
37,19,4200,3000,4000,3000,1497,2
38,20,-200,4000,0,4000,1458,0
39,20,0,4200,0,4000,1542,1
40,21,1000,4200,1000,4000,1507,1
41,22,2000,4200,2000,4000,1481,1
42,23,3000,4200,3000,4000,1486,1
43,24,4200,4000,4000,4000,1443,2
44,24,4000,4200,4000,4000,1504,1
