from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,1000,0,1461,0
0,25,0,0,0,-200,2574,1
0,26,0,0,-200,0,621,2
0,5,0,0,0,1000,1194,3
1,2,1000,0,2000,0,2028,0
1,27,1000,0,1000,-200,2441,1
1,0,1000,0,0,0,576,2
1,6,1000,0,1000,1000,1109,3
2,3,2000,0,3000,0,1780,0
2,28,2000,0,2000,-200,1175,1
2,1,2000,0,1000,0,1153,2
2,7,2000,0,2000,1000,1520,3
3,4,3000,0,4000,0,1058,0
3,29,3000,0,3000,-200,382,1
3,2,3000,0,2000,0,1593,2
3,8,3000,0,3000,1000,2837,3
4,30,4000,0,4200,0,1463,0
4,31,4000,0,4000,-200,1409,1
4,3,4000,0,3000,0,767,2
4,9,4000,0,4000,1000,1194,3
5,6,0,1000,1000,1000,1145,0
5,0,0,1000,0,0,2406,1
5,32,0,1000,-200,1000,1488,2
5,10,0,1000,0,2000,1242,3
6,7,1000,1000,2000,1000,835,0
6,1,1000,1000,1000,0,2108,1
6,5,1000,1000,0,1000,1133,2
6,11,1000,1000,1000,2000,1223,3
7,8,2000,1000,3000,1000,906,0
7,2,2000,1000,2000,0,522,1
7,6,2000,1000,1000,1000,1926,2
7,12,2000,1000,2000,2000,2405,3
8,9,3000,1000,4000,1000,1435,0
8,3,3000,1000,3000,0,1855,1
8,7,3000,1000,2000,1000,2493,2
8,13,3000,1000,3000,2000,1980,3
9,33,4000,1000,4200,1000,2064,0
9,4,4000,1000,4000,0,860,1
9,8,4000,1000,3000,1000,1939,2
9,14,4000,1000,4000,2000,744,3
10,11,0,2000,1000,2000,1497,0
10,5,0,2000,0,1000,2488,1
10,34,0,2000,-200,2000,686,2
10,15,0,2000,0,3000,1878,3
11,12,1000,2000,2000,2000,1742,0
11,6,1000,2000,1000,1000,1150,1
11,10,1000,2000,0,2000,2045,2
11,16,1000,2000,1000,3000,1111,3
12,13,2000,2000,3000,2000,1469,0
12,7,2000,2000,2000,1000,958,1
12,11,2000,2000,1000,2000,2345,2
12,17,2000,2000,2000,3000,2643,3
13,14,3000,2000,4000,2000,1638,0
13,8,3000,2000,3000,1000,2128,1
13,12,3000,2000,2000,2000,915,2
13,18,3000,2000,3000,3000,1331,3
14,35,4000,2000,4200,2000,924,0
14,9,4000,2000,4000,1000,1520,1
14,13,4000,2000,3000,2000,985,2
14,19,4000,2000,4000,3000,1472,3
15,16,0,3000,1000,3000,981,0
15,10,0,3000,0,2000,1723,1
15,36,0,3000,-200,3000,1662,2
15,20,0,3000,0,4000,2237,3
16,17,1000,3000,2000,3000,1310,0
16,11,1000,3000,1000,2000,1033,1
16,15,1000,3000,0,3000,1427,2
16,21,1000,3000,1000,4000,995,3
17,18,2000,3000,3000,3000,2013,0
17,12,2000,3000,2000,2000,2404,1
17,16,2000,3000,1000,3000,1697,2
17,22,2000,3000,2000,4000,1061,3
18,19,3000,3000,4000,3000,1315,0
18,13,3000,3000,3000,2000,1628,1
18,17,3000,3000,2000,3000,641,2
18,23,3000,3000,3000,4000,2376,3
19,37,4000,3000,4200,3000,724,0
19,14,4000,3000,4000,2000,1007,1
19,18,4000,3000,3000,3000,1506,2
19,24,4000,3000,4000,4000,1860,3
20,21,0,4000,1000,4000,1044,0
20,15,0,4000,0,3000,1771,1
20,38,0,4000,-200,4000,1576,2
20,39,0,4000,0,4200,2705,3
21,22,1000,4000,2000,4000,934,0
21,16,1000,4000,1000,3000,1003,1
21,20,1000,4000,0,4000,1987,2
21,40,1000,4000,1000,4200,809,3
22,23,2000,4000,3000,4000,922,0
22,17,2000,4000,2000,3000,2620,1
22,21,2000,4000,1000,4000,1230,2
22,41,2000,4000,2000,4200,1339,3
23,24,3000,4000,4000,4000,1600,0
23,18,3000,4000,3000,3000,1155,1
23,22,3000,4000,2000,4000,2569,2
23,42,3000,4000,3000,4200,1544,3
24,43,4000,4000,4200,4000,2014,0
24,19,4000,4000,4000,3000,837,1
24,23,4000,4000,3000,4000,2082,2
24,44,4000,4000,4000,4200,1486,3
25,0,0,-200,0,0,1435,3
26,0,-200,0,0,0,1461,0
27,1,1000,-200,1000,0,1463,3
28,2,2000,-200,2000,0,1511,3
29,3,3000,-200,3000,0,1504,3
30,4,4200,0,4000,0,1429,2
31,4,4000,-200,4000,0,1505,3
32,5,-200,1000,0,1000,1507,0
33,9,4200,1000,4000,1000,1499,2
34,10,-200,2000,0,2000,1579,0
35,14,4200,2000,4000,2000,1541,2
36,15,-200,3000,0,3000,1569,0
37,19,4200,3000,4000,3000,1500,2
38,20,-200,4000,0,4000,1455,0
39,20,0,4200,0,4000,1456,1
40,21,1000,4200,1000,4000,1491,1
41,22,2000,4200,2000,4000,1569,1
42,23,3000,4200,3000,4000,1533,1
43,24,4200,4000,4000,4000,1485,2
44,24,4000,4200,4000,4000,1498,1
