from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,1000,0,1734,0
0,25,0,0,0,-200,1811,1
0,26,0,0,-200,0,1260,2
0,5,0,0,0,1000,1115,3
1,2,1000,0,2000,0,1209,0
1,27,1000,0,1000,-200,806,1
1,0,1000,0,0,0,1120,2
1,6,1000,0,1000,1000,2009,3
2,3,2000,0,3000,0,1964,0
2,28,2000,0,2000,-200,376,1
2,1,2000,0,1000,0,846,2
2,7,2000,0,2000,1000,1122,3
3,4,3000,0,4000,0,1112,0
3,29,3000,0,3000,-200,2441,1
3,2,3000,0,2000,0,816,2
3,8,3000,0,3000,1000,2027,3
4,30,4000,0,4200,0,821,0
4,31,4000,0,4000,-200,1571,1
4,3,4000,0,3000,0,848,2
4,9,4000,0,4000,1000,1932,3
5,6,0,1000,1000,1000,1246,0
5,0,0,1000,0,0,1883,1
5,32,0,1000,-200,1000,1283,2
5,10,0,1000,0,2000,2106,3
6,7,1000,1000,2000,1000,1880,0
6,1,1000,1000,1000,0,1042,1
6,5,1000,1000,0,1000,1115,2
6,11,1000,1000,1000,2000,1011,3
7,8,2000,1000,3000,1000,1682,0
7,2,2000,1000,2000,0,796,1
7,6,2000,1000,1000,1000,1293,2
7,12,2000,1000,2000,2000,1349,3
8,9,3000,1000,4000,1000,2009,0
8,3,3000,1000,3000,0,2106,1
8,7,3000,1000,2000,1000,1134,2
8,13,3000,1000,3000,2000,1620,3
9,33,4000,1000,4200,1000,2220,0
9,4,4000,1000,4000,0,1073,1
9,8,4000,1000,3000,1000,1103,2
9,14,4000,1000,4000,2000,1631,3
10,11,0,2000,1000,2000,1463,0
10,5,0,2000,0,1000,2768,1
10,34,0,2000,-200,2000,1250,2
10,15,0,2000,0,3000,1779,3
11,12,1000,2000,2000,2000,1872,0
11,6,1000,2000,1000,1000,543,1
11,10,1000,2000,0,2000,2582,2
11,16,1000,2000,1000,3000,826,3
12,13,2000,2000,3000,2000,2930,0
12,7,2000,2000,2000,1000,1027,1
12,11,2000,2000,1000,2000,1235,2
12,17,2000,2000,2000,3000,812,3
13,14,3000,2000,4000,2000,2462,0
13,8,3000,2000,3000,1000,2108,1
13,12,3000,2000,2000,2000,1415,2
13,18,3000,2000,3000,3000,1954,3
14,35,4000,2000,4200,2000,2411,0
14,9,4000,2000,4000,1000,640,1
14,13,4000,2000,3000,2000,2038,2
14,19,4000,2000,4000,3000,927,3
15,16,0,3000,1000,3000,1580,0
15,10,0,3000,0,2000,1098,1
15,36,0,3000,-200,3000,1804,2
15,20,0,3000,0,4000,2249,3
16,17,1000,3000,2000,3000,1332,0
16,11,1000,3000,1000,2000,2152,1
16,15,1000,3000,0,3000,1624,2
16,21,1000,3000,1000,4000,1682,3
17,18,2000,3000,3000,3000,606,0
17,12,2000,3000,2000,2000,1420,1
17,16,2000,3000,1000,3000,2688,2
17,22,2000,3000,2000,4000,992,3
18,19,3000,3000,4000,3000,732,0
18,13,3000,3000,3000,2000,1402,1
18,17,3000,3000,2000,3000,3026,2
18,23,3000,3000,3000,4000,1911,3
19,37,4000,3000,4200,3000,1140,0
19,14,4000,3000,4000,2000,395,1
19,18,4000,3000,3000,3000,1887,2
19,24,4000,3000,4000,4000,707,3
20,21,0,4000,1000,4000,1181,0
20,15,0,4000,0,3000,1861,1
20,38,0,4000,-200,4000,1419,2
20,39,0,4000,0,4200,2614,3
21,22,1000,4000,2000,4000,721,0
21,16,1000,4000,1000,3000,1745,1
21,20,1000,4000,0,4000,1816,2
21,40,1000,4000,1000,4200,1552,3
22,23,2000,4000,3000,4000,879,0
22,17,2000,4000,2000,3000,571,1
22,21,2000,4000,1000,4000,1519,2
22,41,2000,4000,2000,4200,1311,3
23,24,3000,4000,4000,4000,820,0
23,18,3000,4000,3000,3000,2670,1
23,22,3000,4000,2000,4000,1112,2
23,42,3000,4000,3000,4200,1244,3
24,43,4000,4000,4200,4000,1082,0
24,19,4000,4000,4000,3000,953,1
24,23,4000,4000,3000,4000,1548,2
24,44,4000,4000,4000,4200,957,3
25,0,0,-200,0,0,1495,3
26,0,-200,0,0,0,1443,0
27,1,1000,-200,1000,0,1544,3
28,2,2000,-200,2000,0,1508,3
29,3,3000,-200,3000,0,1516,3
30,4,4200,0,4000,0,1497,2
31,4,4000,-200,4000,0,1511,3
32,5,-200,1000,0,1000,1549,0
33,9,4200,1000,4000,1000,1480,2
34,10,-200,2000,0,2000,1518,0
35,14,4200,2000,4000,2000,1558,2
36,15,-200,3000,0,3000,1506,0
37,19,4200,3000,4000,3000,1534,2
38,20,-200,4000,0,4000,1603,0
39,20,0,4200,0,4000,1434,1
40,21,1000,4200,1000,4000,1485,1
41,22,2000,4200,2000,4000,1473,1
42,23,3000,4200,3000,4000,1543,1
43,24,4200,4000,4000,4000,1534,2
44,24,4000,4200,4000,4000,1496,1
