from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,1000,0,841,0
0,25,0,0,0,-200,1438,1
0,26,0,0,-200,0,2395,2
0,5,0,0,0,1000,2166,3
1,2,1000,0,2000,0,1293,0
1,27,1000,0,1000,-200,2392,1
1,0,1000,0,0,0,2531,2
1,6,1000,0,1000,1000,450,3
2,3,2000,0,3000,0,1483,0
2,28,2000,0,2000,-200,828,1
2,1,2000,0,1000,0,2231,2
2,7,2000,0,2000,1000,1005,3
3,4,3000,0,4000,0,1500,0
3,29,3000,0,3000,-200,2038,1
3,2,3000,0,2000,0,1679,2
3,8,3000,0,3000,1000,1425,3
4,30,4000,0,4200,0,1008,0
4,31,4000,0,4000,-200,1581,1
4,3,4000,0,3000,0,1350,2
4,9,4000,0,4000,1000,2596,3
5,6,0,1000,1000,1000,1162,0
5,0,0,1000,0,0,1159,1
5,32,0,1000,-200,1000,1388,2
5,10,0,1000,0,2000,1238,3
6,7,1000,1000,2000,1000,1536,0
6,1,1000,1000,1000,0,2203,1
6,5,1000,1000,0,1000,296,2
6,11,1000,1000,1000,2000,1733,3
7,8,2000,1000,3000,1000,1162,0
7,2,2000,1000,2000,0,1071,1
7,6,2000,1000,1000,1000,1003,2
7,12,2000,1000,2000,2000,1000,3
8,9,3000,1000,4000,1000,1559,0
8,3,3000,1000,3000,0,2355,1
8,7,3000,1000,2000,1000,1102,2
8,13,3000,1000,3000,2000,875,3
9,33,4000,1000,4200,1000,1382,0
9,4,4000,1000,4000,0,2086,1
9,8,4000,1000,3000,1000,1519,2
9,14,4000,1000,4000,2000,2296,3
10,11,0,2000,1000,2000,1674,0
10,5,0,2000,0,1000,1029,1
10,34,0,2000,-200,2000,965,2
10,15,0,2000,0,3000,935,3
11,12,1000,2000,2000,2000,916,0
11,6,1000,2000,1000,1000,3189,1
11,10,1000,2000,0,2000,818,2
11,16,1000,2000,1000,3000,1862,3
12,13,2000,2000,3000,2000,872,0
12,7,2000,2000,2000,1000,623,1
12,11,2000,2000,1000,2000,1658,2
12,17,2000,2000,2000,3000,2051,3
13,14,3000,2000,4000,2000,1234,0
13,8,3000,2000,3000,1000,1819,1
13,12,3000,2000,2000,2000,1179,2
13,18,3000,2000,3000,3000,865,3
14,35,4000,2000,4200,2000,1868,0
14,9,4000,2000,4000,1000,1740,1
14,13,4000,2000,3000,2000,1263,2
14,19,4000,2000,4000,3000,1237,3
15,16,0,3000,1000,3000,2351,0
15,10,0,3000,0,2000,1072,1
15,36,0,3000,-200,3000,434,2
15,20,0,3000,0,4000,583,3
16,17,1000,3000,2000,3000,991,0
16,11,1000,3000,1000,2000,1763,1
16,15,1000,3000,0,3000,1187,2
16,21,1000,3000,1000,4000,3364,3
17,18,2000,3000,3000,3000,1869,0
17,12,2000,3000,2000,2000,2151,1
17,16,2000,3000,1000,3000,1076,2
17,22,2000,3000,2000,4000,1109,3
18,19,3000,3000,4000,3000,1282,0
18,13,3000,3000,3000,2000,2121,1
18,17,3000,3000,2000,3000,1461,2
18,23,3000,3000,3000,4000,1074,3
19,37,4000,3000,4200,3000,955,0
19,14,4000,3000,4000,2000,1109,1
19,18,4000,3000,3000,3000,1811,2
19,24,4000,3000,4000,4000,1473,3
20,21,0,4000,1000,4000,1473,0
20,15,0,4000,0,3000,824,1
20,38,0,4000,-200,4000,864,2
20,39,0,4000,0,4200,844,3
21,22,1000,4000,2000,4000,1978,0
21,16,1000,4000,1000,3000,2064,1
21,20,1000,4000,0,4000,450,2
21,40,1000,4000,1000,4200,2455,3
22,23,2000,4000,3000,4000,1466,0
22,17,2000,4000,2000,3000,1745,1
22,21,2000,4000,1000,4000,728,2
22,41,2000,4000,2000,4200,1567,3
23,24,3000,4000,4000,4000,856,0
23,18,3000,4000,3000,3000,1434,1
23,22,3000,4000,2000,4000,984,2
23,42,3000,4000,3000,4200,1839,3
24,43,4000,4000,4200,4000,968,0
24,19,4000,4000,4000,3000,1359,1
24,23,4000,4000,3000,4000,1044,2
24,44,4000,4000,4000,4200,1872,3
25,0,0,-200,0,0,1505,3
26,0,-200,0,0,0,1667,0
27,1,1000,-200,1000,0,1430,3
28,2,2000,-200,2000,0,1532,3
29,3,3000,-200,3000,0,1482,3
30,4,4200,0,4000,0,1455,2
31,4,4000,-200,4000,0,1524,3
32,5,-200,1000,0,1000,1481,0
33,9,4200,1000,4000,1000,1438,2
34,10,-200,2000,0,2000,1495,0
35,14,4200,2000,4000,2000,1504,2
36,15,-200,3000,0,3000,1520,0
37,19,4200,3000,4000,3000,1497,2
38,20,-200,4000,0,4000,1474,0
39,20,0,4200,0,4000,1511,1
40,21,1000,4200,1000,4000,1423,1
41,22,2000,4200,2000,4000,1469,1
42,23,3000,4200,3000,4000,1558,1
43,24,4200,4000,4000,4000,1458,2
44,24,4000,4200,4000,4000,1470,1
