from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,1000,0,2186,0
0,25,0,0,0,-200,1572,1
0,26,0,0,-200,0,2229,2
0,5,0,0,0,1000,1039,3
1,2,1000,0,2000,0,1414,0
1,27,1000,0,1000,-200,921,1
1,0,1000,0,0,0,2578,2
1,6,1000,0,1000,1000,2069,3
2,3,2000,0,3000,0,1737,0
2,28,2000,0,2000,-200,609,1
2,1,2000,0,1000,0,1214,2
2,7,2000,0,2000,1000,1093,3
3,4,3000,0,4000,0,1493,0
3,29,3000,0,3000,-200,1442,1
3,2,3000,0,2000,0,1395,2
3,8,3000,0,3000,1000,1317,3
4,30,4000,0,4200,0,812,0
4,31,4000,0,4000,-200,1750,1
4,3,4000,0,3000,0,808,2
4,9,4000,0,4000,1000,1972,3
5,6,0,1000,1000,1000,1209,0
5,0,0,1000,0,0,1488,1
5,32,0,1000,-200,1000,1500,2
5,10,0,1000,0,2000,188,3
6,7,1000,1000,2000,1000,2382,0
6,1,1000,1000,1000,0,2121,1
6,5,1000,1000,0,1000,1252,2
6,11,1000,1000,1000,2000,2229,3
7,8,2000,1000,3000,1000,1372,0
7,2,2000,1000,2000,0,359,1
7,6,2000,1000,1000,1000,2291,2
7,12,2000,1000,2000,2000,2219,3
8,9,3000,1000,4000,1000,2323,0
8,3,3000,1000,3000,0,1612,1
8,7,3000,1000,2000,1000,1659,2
8,13,3000,1000,3000,2000,173,3
9,33,4000,1000,4200,1000,1989,0
9,4,4000,1000,4000,0,788,1
9,8,4000,1000,3000,1000,1863,2
9,14,4000,1000,4000,2000,1966,3
10,11,0,2000,1000,2000,564,0
10,5,0,2000,0,1000,632,1
10,34,0,2000,-200,2000,1492,2
10,15,0,2000,0,3000,1199,3
11,12,1000,2000,2000,2000,1656,0
11,6,1000,2000,1000,1000,2481,1
11,10,1000,2000,0,2000,1511,2
11,16,1000,2000,1000,3000,421,3
12,13,2000,2000,3000,2000,806,0
12,7,2000,2000,2000,1000,1145,1
12,11,2000,2000,1000,2000,1629,2
12,17,2000,2000,2000,3000,2475,3
13,14,3000,2000,4000,2000,1869,0
13,8,3000,2000,3000,1000,1253,1
13,12,3000,2000,2000,2000,1170,2
13,18,3000,2000,3000,3000,797,3
14,35,4000,2000,4200,2000,2419,0
14,9,4000,2000,4000,1000,835,1
14,13,4000,2000,3000,2000,1877,2
14,19,4000,2000,4000,3000,1100,3
15,16,0,3000,1000,3000,1753,0
15,10,0,3000,0,2000,722,1
15,36,0,3000,-200,3000,1054,2
15,20,0,3000,0,4000,2321,3
16,17,1000,3000,2000,3000,656,0
16,11,1000,3000,1000,2000,1694,1
16,15,1000,3000,0,3000,1226,2
16,21,1000,3000,1000,4000,612,3
17,18,2000,3000,3000,3000,1007,0
17,12,2000,3000,2000,2000,1058,1
17,16,2000,3000,1000,3000,1433,2
17,22,2000,3000,2000,4000,2152,3
18,19,3000,3000,4000,3000,1357,0
18,13,3000,3000,3000,2000,2264,1
18,17,3000,3000,2000,3000,1720,2
18,23,3000,3000,3000,4000,455,3
19,37,4000,3000,4200,3000,1536,0
19,14,4000,3000,4000,2000,912,1
19,18,4000,3000,3000,3000,1504,2
19,24,4000,3000,4000,4000,1286,3
20,21,0,4000,1000,4000,1107,0
20,15,0,4000,0,3000,1925,1
20,38,0,4000,-200,4000,1947,2
20,39,0,4000,0,4200,1656,3
21,22,1000,4000,2000,4000,1541,0
21,16,1000,4000,1000,3000,607,1
21,20,1000,4000,0,4000,1345,2
21,40,1000,4000,1000,4200,682,3
22,23,2000,4000,3000,4000,3537,0
22,17,2000,4000,2000,3000,835,1
22,21,2000,4000,1000,4000,1018,2
22,41,2000,4000,2000,4200,471,3
23,24,3000,4000,4000,4000,2235,0
23,18,3000,4000,3000,3000,2518,1
23,22,3000,4000,2000,4000,629,2
23,42,3000,4000,3000,4200,968,3
24,43,4000,4000,4200,4000,1892,0
24,19,4000,4000,4000,3000,1312,1
24,23,4000,4000,3000,4000,837,2
24,44,4000,4000,4000,4200,2394,3
25,0,0,-200,0,0,1461,3
26,0,-200,0,0,0,1539,0
27,1,1000,-200,1000,0,1491,3
28,2,2000,-200,2000,0,1505,3
29,3,3000,-200,3000,0,1520,3
30,4,4200,0,4000,0,1537,2
31,4,4000,-200,4000,0,1548,3
32,5,-200,1000,0,1000,1489,0
33,9,4200,1000,4000,1000,1513,2
34,10,-200,2000,0,2000,1477,0
35,14,4200,2000,4000,2000,1517,2
36,15,-200,3000,0,3000,1533,0
37,19,4200,3000,4000,3000,1493,2
38,20,-200,4000,0,4000,1538,0
39,20,0,4200,0,4000,1457,1
40,21,1000,4200,1000,4000,1460,1
41,22,2000,4200,2000,4000,1572,1
42,23,3000,4200,3000,4000,1551,1
43,24,4200,4000,4000,4000,1497,2
44,24,4000,4200,4000,4000,1457,1
