from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,1000,0,707,0
0,25,0,0,0,-200,1255,1
0,26,0,0,-200,0,2055,2
0,5,0,0,0,1000,1523,3
1,2,1000,0,2000,0,968,0
1,27,1000,0,1000,-200,1778,1
1,0,1000,0,0,0,1952,2
1,6,1000,0,1000,1000,1464,3
2,3,2000,0,3000,0,895,0
2,28,2000,0,2000,-200,1308,1
2,1,2000,0,1000,0,2361,2
2,7,2000,0,2000,1000,904,3
3,4,3000,0,4000,0,1684,0
3,29,3000,0,3000,-200,471,1
3,2,3000,0,2000,0,2097,2
3,8,3000,0,3000,1000,998,3
4,30,4000,0,4200,0,1966,0
4,31,4000,0,4000,-200,1208,1
4,3,4000,0,3000,0,1172,2
4,9,4000,0,4000,1000,1230,3
5,6,0,1000,1000,1000,2411,0
5,0,0,1000,0,0,520,1
5,32,0,1000,-200,1000,1327,2
5,10,0,1000,0,2000,438,3
6,7,1000,1000,2000,1000,1798,0
6,1,1000,1000,1000,0,1600,1
6,5,1000,1000,0,1000,458,2
6,11,1000,1000,1000,2000,1706,3
7,8,2000,1000,3000,1000,990,0
7,2,2000,1000,2000,0,940,1
7,6,2000,1000,1000,1000,890,2
7,12,2000,1000,2000,2000,1515,3
8,9,3000,1000,4000,1000,1258,0
8,3,3000,1000,3000,0,1770,1
8,7,3000,1000,2000,1000,673,2
8,13,3000,1000,3000,2000,1536,3
9,33,4000,1000,4200,1000,1090,0
9,4,4000,1000,4000,0,843,1
9,8,4000,1000,3000,1000,2030,2
9,14,4000,1000,4000,2000,1016,3
10,11,0,2000,1000,2000,1288,0
10,5,0,2000,0,1000,1232,1
10,34,0,2000,-200,2000,1462,2
10,15,0,2000,0,3000,692,3
11,12,1000,2000,2000,2000,1139,0
11,6,1000,2000,1000,1000,841,1
11,10,1000,2000,0,2000,1899,2
11,16,1000,2000,1000,3000,1604,3
12,13,2000,2000,3000,2000,1082,0
12,7,2000,2000,2000,1000,990,1
12,11,2000,2000,1000,2000,1568,2
12,17,2000,2000,2000,3000,2480,3
13,14,3000,2000,4000,2000,1296,0
13,8,3000,2000,3000,1000,1259,1
13,12,3000,2000,2000,2000,2440,2
13,18,3000,2000,3000,3000,692,3
14,35,4000,2000,4200,2000,1195,0
14,9,4000,2000,4000,1000,1030,1
14,13,4000,2000,3000,2000,1467,2
14,19,4000,2000,4000,3000,1610,3
15,16,0,3000,1000,3000,1797,0
15,10,0,3000,0,2000,886,1
15,36,0,3000,-200,3000,1850,2
15,20,0,3000,0,4000,1082,3
16,17,1000,3000,2000,3000,1603,0
16,11,1000,3000,1000,2000,963,1
16,15,1000,3000,0,3000,2189,2
16,21,1000,3000,1000,4000,1687,3
17,18,2000,3000,3000,3000,2678,0
17,12,2000,3000,2000,2000,1067,1
17,16,2000,3000,1000,3000,2211,2
17,22,2000,3000,2000,4000,861,3
18,19,3000,3000,4000,3000,1878,0
18,13,3000,3000,3000,2000,1646,1
18,17,3000,3000,2000,3000,1973,2
18,23,3000,3000,3000,4000,1251,3
19,37,4000,3000,4200,3000,2290,0
19,14,4000,3000,4000,2000,1523,1
19,18,4000,3000,3000,3000,907,2
19,24,4000,3000,4000,4000,1054,3
20,21,0,4000,1000,4000,1500,0
20,15,0,4000,0,3000,1233,1
20,38,0,4000,-200,4000,967,2
20,39,0,4000,0,4200,1929,3
21,22,1000,4000,2000,4000,2262,0
21,16,1000,4000,1000,3000,875,1
21,20,1000,4000,0,4000,1538,2
21,40,1000,4000,1000,4200,753,3
22,23,2000,4000,3000,4000,1800,0
22,17,2000,4000,2000,3000,826,1
22,21,2000,4000,1000,4000,776,2
22,41,2000,4000,2000,4200,1710,3
23,24,3000,4000,4000,4000,1694,0
23,18,3000,4000,3000,3000,2510,1
23,22,3000,4000,2000,4000,532,2
23,42,3000,4000,3000,4200,1190,3
24,43,4000,4000,4200,4000,2009,0
24,19,4000,4000,4000,3000,867,1
24,23,4000,4000,3000,4000,1390,2
24,44,4000,4000,4000,4200,1488,3
25,0,0,-200,0,0,1513,3
26,0,-200,0,0,0,1574,0
27,1,1000,-200,1000,0,1530,3
28,2,2000,-200,2000,0,1500,3
29,3,3000,-200,3000,0,1442,3
30,4,4200,0,4000,0,1543,2
31,4,4000,-200,4000,0,1525,3
32,5,-200,1000,0,1000,1515,0
33,9,4200,1000,4000,1000,1480,2
34,10,-200,2000,0,2000,1481,0
35,14,4200,2000,4000,2000,1490,2
36,15,-200,3000,0,3000,1537,0
37,19,4200,3000,4000,3000,1453,2
38,20,-200,4000,0,4000,1484,0
39,20,0,4200,0,4000,1543,1
40,21,1000,4200,1000,4000,1497,1
41,22,2000,4200,2000,4000,1492,1
42,23,3000,4200,3000,4000,1511,1
43,24,4200,4000,4000,4000,1521,2
44,24,4000,4200,4000,4000,1507,1
