from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,1000,0,667,0
0,25,0,0,0,-200,1655,1
0,26,0,0,-200,0,1076,2
0,5,0,0,0,1000,2612,3
1,2,1000,0,2000,0,866,0
1,27,1000,0,1000,-200,2483,1
1,0,1000,0,0,0,1786,2
1,6,1000,0,1000,1000,1067,3
2,3,2000,0,3000,0,1119,0
2,28,2000,0,2000,-200,927,1
2,1,2000,0,1000,0,2259,2
2,7,2000,0,2000,1000,841,3
3,4,3000,0,4000,0,1455,0
3,29,3000,0,3000,-200,944,1
3,2,3000,0,2000,0,1756,2
3,8,3000,0,3000,1000,1252,3
4,30,4000,0,4200,0,1524,0
4,31,4000,0,4000,-200,1581,1
4,3,4000,0,3000,0,1574,2
4,9,4000,0,4000,1000,1747,3
5,6,0,1000,1000,1000,1360,0
5,0,0,1000,0,0,1228,1
5,32,0,1000,-200,1000,2194,2
5,10,0,1000,0,2000,1623,3
6,7,1000,1000,2000,1000,734,0
6,1,1000,1000,1000,0,1868,1
6,5,1000,1000,0,1000,1126,2
6,11,1000,1000,1000,2000,801,3
7,8,2000,1000,3000,1000,1919,0
7,2,2000,1000,2000,0,1074,1
7,6,2000,1000,1000,1000,745,2
7,12,2000,1000,2000,2000,811,3
8,9,3000,1000,4000,1000,1639,0
8,3,3000,1000,3000,0,1225,1
8,7,3000,1000,2000,1000,814,2
8,13,3000,1000,3000,2000,1675,3
9,33,4000,1000,4200,1000,1854,0
9,4,4000,1000,4000,0,2063,1
9,8,4000,1000,3000,1000,1132,2
9,14,4000,1000,4000,2000,1124,3
10,11,0,2000,1000,2000,1648,0
10,5,0,2000,0,1000,1161,1
10,34,0,2000,-200,2000,694,2
10,15,0,2000,0,3000,1889,3
11,12,1000,2000,2000,2000,1696,0
11,6,1000,2000,1000,1000,1387,1
11,10,1000,2000,0,2000,1290,2
11,16,1000,2000,1000,3000,848,3
12,13,2000,2000,3000,2000,749,0
12,7,2000,2000,2000,1000,2200,1
12,11,2000,2000,1000,2000,886,2
12,17,2000,2000,2000,3000,864,3
13,14,3000,2000,4000,2000,630,0
13,8,3000,2000,3000,1000,1094,1
13,12,3000,2000,2000,2000,848,2
13,18,3000,2000,3000,3000,1938,3
14,35,4000,2000,4200,2000,263,0
14,9,4000,2000,4000,1000,1310,1
14,13,4000,2000,3000,2000,761,2
14,19,4000,2000,4000,3000,1757,3
15,16,0,3000,1000,3000,1671,0
15,10,0,3000,0,2000,1037,1
15,36,0,3000,-200,3000,533,2
15,20,0,3000,0,4000,1915,3
16,17,1000,3000,2000,3000,2251,0
16,11,1000,3000,1000,2000,1916,1
16,15,1000,3000,0,3000,636,2
16,21,1000,3000,1000,4000,396,3
17,18,2000,3000,3000,3000,1510,0
17,12,2000,3000,2000,2000,1378,1
17,16,2000,3000,1000,3000,1250,2
17,22,2000,3000,2000,4000,2483,3
18,19,3000,3000,4000,3000,1722,0
18,13,3000,3000,3000,2000,1357,1
18,17,3000,3000,2000,3000,1948,2
18,23,3000,3000,3000,4000,2025,3
19,37,4000,3000,4200,3000,2298,0
19,14,4000,3000,4000,2000,808,1
19,18,4000,3000,3000,3000,1747,2
19,24,4000,3000,4000,4000,781,3
20,21,0,4000,1000,4000,2419,0
20,15,0,4000,0,3000,1220,1
20,38,0,4000,-200,4000,1719,2
20,39,0,4000,0,4200,1009,3
21,22,1000,4000,2000,4000,1944,0
21,16,1000,4000,1000,3000,1472,1
21,20,1000,4000,0,4000,1459,2
21,40,1000,4000,1000,4200,2129,3
22,23,2000,4000,3000,4000,1875,0
22,17,2000,4000,2000,3000,1603,1
22,21,2000,4000,1000,4000,2770,2
22,41,2000,4000,2000,4200,1499,3
23,24,3000,4000,4000,4000,1767,0
23,18,3000,4000,3000,3000,1900,1
23,22,3000,4000,2000,4000,1856,2
23,42,3000,4000,3000,4200,1993,3
24,43,4000,4000,4200,4000,1760,0
24,19,4000,4000,4000,3000,690,1
24,23,4000,4000,3000,4000,2165,2
24,44,4000,4000,4000,4200,820,3
25,0,0,-200,0,0,1535,3
26,0,-200,0,0,0,1489,0
27,1,1000,-200,1000,0,1446,3
28,2,2000,-200,2000,0,1477,3
29,3,3000,-200,3000,0,1518,3
30,4,4200,0,4000,0,1494,2
31,4,4000,-200,4000,0,1447,3
32,5,-200,1000,0,1000,1537,0
33,9,4200,1000,4000,1000,1502,2
34,10,-200,2000,0,2000,1474,0
35,14,4200,2000,4000,2000,1554,2
36,15,-200,3000,0,3000,1438,0
37,19,4200,3000,4000,3000,1495,2
38,20,-200,4000,0,4000,1479,0
39,20,0,4200,0,4000,1539,1
40,21,1000,4200,1000,4000,1468,1
41,22,2000,4200,2000,4000,1518,1
42,23,3000,4200,3000,4000,1495,1
43,24,4200,4000,4000,4000,1418,2
44,24,4000,4200,4000,4000,1483,1
