from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,1000,0,1311,0
0,25,0,0,0,-200,1815,1
0,26,0,0,-200,0,1147,2
0,5,0,0,0,1000,1626,3
1,2,1000,0,2000,0,1277,0
1,27,1000,0,1000,-200,2123,1
1,0,1000,0,0,0,1403,2
1,6,1000,0,1000,1000,1660,3
2,3,2000,0,3000,0,1045,0
2,28,2000,0,2000,-200,1002,1
2,1,2000,0,1000,0,2285,2
2,7,2000,0,2000,1000,2210,3
3,4,3000,0,4000,0,1543,0
3,29,3000,0,3000,-200,949,1
3,2,3000,0,2000,0,1667,2
3,8,3000,0,3000,1000,871,3
4,30,4000,0,4200,0,2433,0
4,31,4000,0,4000,-200,845,1
4,3,4000,0,3000,0,1396,2
4,9,4000,0,4000,1000,1642,3
5,6,0,1000,1000,1000,1292,0
5,0,0,1000,0,0,1513,1
5,32,0,1000,-200,1000,1688,2
5,10,0,1000,0,2000,1934,3
6,7,1000,1000,2000,1000,1341,0
6,1,1000,1000,1000,0,1371,1
6,5,1000,1000,0,1000,1726,2
6,11,1000,1000,1000,2000,2069,3
7,8,2000,1000,3000,1000,2120,0
7,2,2000,1000,2000,0,2174,1
7,6,2000,1000,1000,1000,2408,2
7,12,2000,1000,2000,2000,872,3
8,9,3000,1000,4000,1000,1155,0
8,3,3000,1000,3000,0,1101,1
8,7,3000,1000,2000,1000,2232,2
8,13,3000,1000,3000,2000,1926,3
9,33,4000,1000,4200,1000,887,0
9,4,4000,1000,4000,0,1840,1
9,8,4000,1000,3000,1000,1189,2
9,14,4000,1000,4000,2000,1542,3
10,11,0,2000,1000,2000,2396,0
10,5,0,2000,0,1000,1657,1
10,34,0,2000,-200,2000,820,2
10,15,0,2000,0,3000,1652,3
11,12,1000,2000,2000,2000,3035,0
11,6,1000,2000,1000,1000,1191,1
11,10,1000,2000,0,2000,1387,2
11,16,1000,2000,1000,3000,1885,3
12,13,2000,2000,3000,2000,2261,0
12,7,2000,2000,2000,1000,1862,1
12,11,2000,2000,1000,2000,866,2
12,17,2000,2000,2000,3000,1086,3
13,14,3000,2000,4000,2000,2796,0
13,8,3000,2000,3000,1000,2288,1
13,12,3000,2000,2000,2000,1309,2
13,18,3000,2000,3000,3000,1779,3
14,35,4000,2000,4200,2000,1755,0
14,9,4000,2000,4000,1000,1195,1
14,13,4000,2000,3000,2000,1937,2
14,19,4000,2000,4000,3000,1320,3
15,16,0,3000,1000,3000,1364,0
15,10,0,3000,0,2000,1776,1
15,36,0,3000,-200,3000,2069,2
15,20,0,3000,0,4000,2101,3
16,17,1000,3000,2000,3000,483,0
16,11,1000,3000,1000,2000,2218,1
16,15,1000,3000,0,3000,2050,2
16,21,1000,3000,1000,4000,1188,3
17,18,2000,3000,3000,3000,789,0
17,12,2000,3000,2000,2000,912,1
17,16,2000,3000,1000,3000,1165,2
17,22,2000,3000,2000,4000,1166,3
18,19,3000,3000,4000,3000,631,0
18,13,3000,3000,3000,2000,2100,1
18,17,3000,3000,2000,3000,1423,2
18,23,3000,3000,3000,4000,1378,3
19,37,4000,3000,4200,3000,1240,0
19,14,4000,3000,4000,2000,442,1
19,18,4000,3000,3000,3000,1680,2
19,24,4000,3000,4000,4000,968,3
20,21,0,4000,1000,4000,659,0
20,15,0,4000,0,3000,2151,1
20,38,0,4000,-200,4000,1975,2
20,39,0,4000,0,4200,2095,3
21,22,1000,4000,2000,4000,100,0
21,16,1000,4000,1000,3000,1579,1
21,20,1000,4000,0,4000,1730,2
21,40,1000,4000,1000,4200,1308,3
22,23,2000,4000,3000,4000,429,0
22,17,2000,4000,2000,3000,1071,1
22,21,2000,4000,1000,4000,1349,2
22,41,2000,4000,2000,4200,1581,3
23,24,3000,4000,4000,4000,1177,0
23,18,3000,4000,3000,3000,1326,1
23,22,3000,4000,2000,4000,1663,2
23,42,3000,4000,3000,4200,763,3
24,43,4000,4000,4200,4000,995,0
24,19,4000,4000,4000,3000,908,1
24,23,4000,4000,3000,4000,1656,2
24,44,4000,4000,4000,4200,1612,3
25,0,0,-200,0,0,1506,3
26,0,-200,0,0,0,1491,0
27,1,1000,-200,1000,0,1544,3
28,2,2000,-200,2000,0,1463,3
29,3,3000,-200,3000,0,1515,3
30,4,4200,0,4000,0,1483,2
31,4,4000,-200,4000,0,1475,3
32,5,-200,1000,0,1000,1445,0
33,9,4200,1000,4000,1000,1497,2
34,10,-200,2000,0,2000,1469,0
35,14,4200,2000,4000,2000,1459,2
36,15,-200,3000,0,3000,1498,0
37,19,4200,3000,4000,3000,1493,2
38,20,-200,4000,0,4000,1509,0
39,20,0,4200,0,4000,1565,1
40,21,1000,4200,1000,4000,1548,1
41,22,2000,4200,2000,4000,1521,1
42,23,3000,4200,3000,4000,1488,1
43,24,4200,4000,4000,4000,1516,2
44,24,4000,4200,4000,4000,1536,1
