Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_6_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~400~400~e_RA_fTA~2000~2000~200~200~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1780,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,6,100000,50013,55041,74857,55604,50000,55041,75114,55604,750,0,0,0,130,2,178834,257410,380,257314,96,732,1,732,1,0,0,1535,32.575,31.8905
2,6,100000,50136,55020,100000,55556,50000,55020,100000,55556,561,120,0,0,138,2,436403,570159,401,570074,85,1625,1,1625,1,0,0,1645,30.413,30.1136
3,6,100000,50007,55034,99952,55331,50000,55034,100000,55420,586,111,0,0,147,2,455263,593766,387,593762,4,1665,1,1665,1,0,0,1679,29.7819,30.5999
4,6,100000,50134,55029,99974,55428,50000,55029,100000,55727,573,115,0,0,134,2,386701,539175,392,538870,305,1530,2,1530,2,0,0,1545,32.318,32.9888
5,6,100000,50000,55159,99997,55736,50000,55159,100000,55736,602,124,0,0,144,4,425671,577299,262,576757,542,1623,3,1623,3,0,0,1640,30.5003,30.5399
6,6,100000,50000,55020,99995,55484,50000,55020,100000,55484,596,103,0,0,142,2,426333,579175,401,579092,83,1635,1,1635,1,0,0,1650,30.3062,31.0547
7,6,100000,50043,55021,99994,55345,50000,55021,100000,55420,549,114,0,0,142,1,440722,580455,400,580455,0,1629,0,1629,0,0,0,1644,30.3956,30.6666
8,6,100000,50013,0,99993,0,50000,0,100000,0,607,100,0,0,140,1,455834,570547,0,570547,0,1627,0,1626,-1,0,0,1643,30.4275,31.53
9,6,100000,50023,55020,99997,55216,50000,55020,100000,55420,584,95,0,0,141,1,423877,571382,401,571382,0,1615,0,1615,0,0,0,1628,30.7105,30.8832
10,6,100000,50000,55020,99996,55245,50000,55020,100000,55420,572,102,0,0,146,1,449267,579656,401,579656,0,1633,0,1633,0,0,0,1644,30.4285,31.5115
11,6,100000,50000,55020,99981,55303,50000,55020,100000,55420,597,118,0,0,133,1,386342,546977,401,546977,0,1548,0,1548,0,0,0,1560,32.0051,31.618
12,6,100000,50000,55182,100000,55369,50000,55182,100000,55420,601,111,0,0,136,3,408038,562345,239,562266,79,1596,2,1595,2,0,0,1614,30.9777,29.167
13,6,100000,50022,55031,99997,55316,50000,55031,100000,55420,598,101,0,0,147,2,426830,569347,390,569323,24,1616,1,1615,1,0,0,1634,30.6111,31.0421
14,6,100000,50000,55035,58290,55362,50000,55035,58580,55420,672,0,0,0,140,2,89531,102622,386,102571,51,291,1,290,1,0,0,1653,30.2645,30.067
15,6,100000,50000,55041,100000,55560,50000,55041,100000,55578,596,111,0,0,142,4,394030,545296,380,544868,428,1557,5,1556,5,0,0,1577,31.7253,31.3386
16,6,100000,50000,55020,99980,55733,50000,55020,100000,55751,611,112,0,0,136,9,414806,562560,401,561079,1481,1592,13,1591,13,0,0,1613,31.0019,30.6627
17,6,100000,50000,55020,99991,55452,50000,55020,100000,55452,599,110,0,0,130,4,435533,570882,401,570866,16,1601,3,1601,3,0,0,1611,31.0391,31.2413
18,6,100000,50000,55045,99994,55334,50000,55045,100000,55420,592,116,0,0,143,1,440696,574839,376,574839,0,1620,0,1619,0,0,0,1639,30.5183,31.4952
19,6,100000,50095,55024,99995,55402,50000,55024,100000,55420,606,111,0,0,138,3,410401,551775,397,551702,73,1560,2,1560,2,0,0,1572,31.7899,31.9965
20,6,100000,50000,55107,97705,55267,50000,55107,97964,55420,649,38,0,0,134,2,391710,533241,314,533085,156,1501,1,1501,1,0,0,1577,31.6954,32.1074
