Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_3_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~600~600~e_RA_fTA~2000~2000~10~10~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1680,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,3,100000,50053,55168,66709,55571,50000,55168,67193,55620,684,0,0,0,96,1,98981,180314,453,180314,0,355,0,355,0,0,0,1043,47.9626,51.067
2,3,100000,50157,55301,99875,55301,50000,55301,100000,55620,613,64,0,0,96,1,269911,499731,320,499731,0,988,0,988,0,0,0,999,50.0551,51.2491
3,3,100000,50000,55301,99958,55577,50000,55301,100000,55620,644,73,0,0,99,1,267377,507888,320,507888,0,988,0,988,0,0,0,1028,48.6378,49.8893
4,3,100000,50233,55139,99979,55566,50000,55139,100000,55625,579,69,0,0,96,2,280141,519440,482,519161,279,1024,1,1024,1,0,0,1043,47.9319,48.0892
5,3,100000,50156,55162,99980,58152,50000,55162,100000,58324,604,80,0,0,96,14,281179,523221,459,518630,4591,1011,14,1011,13,0,0,1037,48.1776,48.9508
6,3,100000,50198,55301,99990,55570,50000,55301,100000,55620,644,67,0,0,97,1,272945,523575,320,523575,0,1017,0,1017,0,0,0,1033,48.3614,50.0429
7,3,100000,50289,55238,99973,56073,50000,55238,100000,56173,603,78,0,0,98,2,276272,537477,383,536942,535,1048,1,1048,1,0,0,1070,46.6978,47.3521
8,3,100000,50000,55032,75387,56694,50000,55032,75702,56957,657,0,0,0,79,6,128466,239453,589,237465,1988,472,5,472,5,0,0,977,51.1609,51.2709
9,3,100000,50002,55388,99995,55391,50000,55388,100000,55620,604,69,0,0,89,1,246553,517197,233,517197,0,993,0,993,0,0,0,1012,49.4085,49.2505
10,3,100000,50330,55308,99990,55534,50000,55308,100000,55620,635,66,0,0,97,1,256119,505309,313,505309,0,999,0,999,0,0,0,1024,48.8495,48.9738
11,3,100000,50002,55073,62095,55821,50000,55073,62593,55893,665,0,0,0,73,2,44975,100997,548,100595,402,210,1,210,1,0,0,1036,48.2106,46.6832
12,3,100000,50000,55263,99995,55513,50000,55263,100000,55620,609,71,0,0,97,1,289830,548592,358,548592,0,1067,0,1067,0,0,0,1089,45.9311,45.8655
13,3,100000,50281,55029,62852,55114,50000,55029,63181,55620,691,0,0,0,85,1,65979,130769,592,130769,0,252,0,252,0,0,0,1033,48.4322,49.1188
14,3,100000,50000,55422,83814,55536,50000,55422,84174,55620,660,0,0,0,90,1,198379,372931,199,372931,0,719,0,719,0,0,0,1036,48.3043,49.1326
15,3,100000,50111,55322,99998,55574,50000,55322,100000,55620,578,65,0,0,97,1,254171,514954,299,514954,0,1020,0,1020,0,0,0,1044,47.9367,47.5189
16,3,100000,50056,55153,100000,56488,50000,55153,100000,56660,578,64,0,0,93,3,265194,510791,468,509681,1110,1010,2,1010,2,0,0,1036,48.2502,46.8704
17,3,100000,50043,55351,99996,55478,50000,55351,100000,55620,625,80,0,0,97,1,267870,531564,270,531564,0,1037,0,1037,0,0,0,1063,47.032,47.6708
18,3,100000,50260,55194,100000,56216,50000,55194,100000,56234,610,80,0,0,92,2,245066,497585,427,496985,600,992,1,992,1,0,0,1008,49.5581,51.1462
19,3,100000,50076,55301,81482,56190,50000,55301,81801,56205,651,0,0,0,99,2,165210,321378,320,320790,588,639,1,639,1,0,0,1045,47.7328,49.3327
20,3,100000,50289,55317,58667,56029,50000,55317,59097,56129,656,0,0,0,93,2,45075,90052,304,89539,513,172,1,172,1,0,0,1001,49.987,53.3619
21,3,100000,50043,55124,99984,55361,50000,55124,100000,55631,630,63,0,0,91,2,271909,534976,497,534474,502,1038,1,1038,1,0,0,1066,46.9052,46.4057
22,3,100000,50189,55303,99989,55501,50000,55303,100000,55620,599,54,0,0,88,1,260670,486910,318,486910,0,955,0,955,0,0,0,971,51.5381,52.2074
23,3,100000,50000,55191,99995,55469,50000,55191,100000,55620,573,61,0,0,84,1,208227,452517,430,452517,0,910,0,909,0,0,0,928,53.9331,52.2927
