Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_3_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~600~600~e_RA_fTA~2000~2000~800~800~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1680,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,3,100000,50053,55168,66709,55632,50000,55168,67193,55720,684,0,0,0,96,1,99763,181355,553,181355,0,355,0,355,0,0,0,1043,47.9626,51.067
2,3,100000,50157,55301,99875,55301,50000,55301,100000,55720,613,64,0,0,96,1,269933,500064,420,500064,0,988,0,988,0,0,0,999,50.0551,51.2491
3,3,100000,50000,55301,99958,55650,50000,55301,100000,55720,644,73,0,0,99,1,267911,508873,420,508873,0,988,0,988,0,0,0,1028,48.6378,49.8893
4,3,100000,50233,55139,99979,57804,50000,55139,100000,57886,579,69,0,0,96,6,282830,527538,582,524050,3488,1020,5,1020,5,0,0,1043,47.9319,48.0892
5,3,100000,50156,55162,64477,99980,50000,55162,64594,100000,603,0,81,0,80,98,364212,701134,559,116382,584752,203,823,203,823,0,0,1037,48.1776,48.9508
6,3,100000,50198,55301,99990,55570,50000,55301,100000,55720,644,67,0,0,97,1,275128,525199,420,525199,0,1017,0,1017,0,0,0,1033,48.3614,50.0429
7,3,100000,50289,55238,99973,56923,50000,55238,100000,57026,603,78,0,0,98,3,277799,540971,483,539499,1472,1047,2,1047,2,0,0,1070,46.6978,47.3521
8,3,100000,50000,55032,75387,57005,50000,55032,75702,57668,657,0,0,0,79,10,131556,246719,689,240482,6237,469,9,469,9,0,0,977,51.1609,51.2709
9,3,100000,50002,55388,99995,55641,50000,55388,100000,55720,604,69,0,0,89,1,246946,518122,333,518122,0,993,0,993,0,0,0,1012,49.4085,49.2505
10,3,100000,50330,55308,99990,56944,50000,55308,100000,57232,635,66,0,0,97,6,258354,509999,413,506200,3799,994,5,994,5,0,0,1024,48.8495,48.9738
11,3,100000,50002,55073,61712,99999,50000,55073,61927,100000,584,0,81,0,73,99,353288,683735,648,86666,597069,164,857,164,857,0,0,1036,48.2106,46.6832
12,3,100000,50000,55263,99995,57060,50000,55263,100000,57074,609,71,0,0,97,4,292059,553211,458,550977,2234,1064,3,1064,3,0,0,1089,45.9311,45.8655
13,3,100000,50281,55029,62852,55114,50000,55029,63181,55720,691,0,0,0,85,1,65979,130969,692,130969,0,252,0,252,0,0,0,1033,48.4322,49.1188
14,3,100000,50000,55422,83814,55536,50000,55422,84174,55720,660,0,0,0,90,1,198521,373559,299,373559,0,719,0,719,0,0,0,1036,48.3043,49.1326
15,3,100000,50111,55322,69877,99998,50000,55322,70277,100000,572,0,71,0,79,96,323742,684090,399,159237,524853,277,755,277,755,0,0,1044,47.9367,47.5189
16,3,100000,50056,55153,100000,56063,50000,55153,100000,56184,578,64,0,0,93,2,266526,513205,568,512564,641,1011,1,1011,1,0,0,1036,48.2502,46.8704
17,3,100000,50043,55351,99996,55478,50000,55351,100000,55720,625,80,0,0,97,1,268320,533256,370,533256,0,1038,0,1038,0,0,0,1063,47.032,47.6708
18,3,100000,50260,55194,100000,56275,50000,55194,100000,56334,610,80,0,0,92,2,245920,500143,527,499427,716,992,1,992,1,0,0,1008,49.5581,51.1462
19,3,100000,50076,55301,81482,58629,50000,55301,81801,58799,651,0,0,0,99,11,169046,330554,420,322278,8276,630,11,630,11,0,0,1045,47.7328,49.3327
20,3,100000,50289,55317,58667,56596,50000,55317,59097,57015,656,0,0,0,93,6,46882,93716,404,89987,3729,168,5,168,5,0,0,1001,49.987,53.3619
21,3,100000,50043,55124,99984,55361,50000,55124,100000,55731,630,63,0,0,91,2,272170,535885,597,535278,607,1038,1,1038,1,0,0,1066,46.9052,46.4057
22,3,100000,50189,55303,99989,55501,50000,55303,100000,55720,599,54,0,0,88,1,261308,487595,418,487595,0,955,0,955,0,0,0,971,51.5381,52.2074
23,3,100000,50000,55191,60691,99999,50000,55191,60791,100000,567,0,67,0,67,86,268964,607147,530,73644,533503,140,780,140,780,0,0,928,53.9331,52.2927
24,3,100000,50354,55275,99993,55714,50000,55275,100000,55720,632,68,0,0,97,1,262264,508753,446,508753,0,995,0,995,0,0,0,1011,49.4802,49.22
