Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_1_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~600~600~e_RA_fTA~2000~2000~800~800~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1680,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,1,100000,50053,55168,66709,56093,50000,55168,67193,56197,684,0,0,0,91,15,100491,183152,553,177368,5784,353,20,353,20,0,0,1043,47.9626,51.067
2,1,100000,50157,55301,99875,55334,50000,55301,100000,55781,613,64,0,0,96,3,269933,500164,420,499584,580,988,2,988,2,0,0,999,50.0551,51.2491
3,1,100000,50000,55301,55938,99983,50000,55301,56026,100000,637,0,80,0,99,92,344720,685707,420,65447,620260,136,886,136,886,0,0,1028,48.6378,49.8893
4,1,100000,50233,55139,55549,99985,50000,55139,55585,100000,576,0,72,0,70,97,370117,701959,582,47681,654278,108,932,108,932,0,0,1043,47.9319,48.0892
5,1,100000,50156,55162,55690,99980,50000,55162,55816,100000,603,0,81,0,80,98,366972,707285,559,58650,648635,118,916,118,916,0,0,1037,48.1776,48.9508
6,1,100000,50198,55301,55588,99990,50000,55301,56187,100000,643,0,68,0,69,99,359511,704537,420,51504,653033,102,922,102,922,0,0,1033,48.3614,50.0429
7,1,100000,50289,55238,99973,56217,50000,55238,100000,56282,603,78,0,0,98,14,278199,541851,483,537077,4774,1046,22,1046,22,0,0,1070,46.6978,47.3521
8,1,100000,50000,55032,56515,99979,50000,55032,56698,100000,580,0,77,0,72,90,321924,646683,689,58359,588324,129,860,129,860,0,0,977,51.1609,51.2709
9,1,100000,50002,55388,99995,55641,50000,55388,100000,55720,604,69,0,0,89,3,246950,518125,333,517684,441,993,3,993,3,0,0,1012,49.4085,49.2505
10,1,100000,50330,55308,55467,99990,50000,55308,55534,100000,629,0,72,0,73,99,333182,678255,413,49942,628313,101,912,101,912,0,0,1024,48.8495,48.9738
11,1,100000,50002,55073,55896,99999,50000,55073,55941,100000,584,0,81,0,73,99,355047,688434,648,49851,638583,111,923,110,923,0,0,1036,48.2106,46.6832
12,1,100000,50000,55263,55477,99995,50000,55263,55547,100000,606,0,74,0,80,102,375238,735654,458,56287,679367,122,959,122,959,0,0,1089,45.9311,45.8655
13,1,100000,50281,55029,62852,55114,50000,55029,63181,55720,691,0,0,0,85,3,65979,130969,692,130629,340,252,2,252,2,0,0,1033,48.4322,49.1188
14,1,100000,50000,55422,83814,55536,50000,55422,84174,55720,660,0,0,0,90,2,198521,373559,299,373408,151,719,2,719,2,0,0,1036,48.3043,49.1326
15,1,100000,50111,55322,99998,55698,50000,55322,100000,55770,578,65,0,0,96,6,254625,516512,399,515355,1157,1020,11,1020,11,0,0,1044,47.9367,47.5189
16,1,100000,50056,55153,55545,100000,50000,55153,55636,100000,573,0,69,0,87,90,346191,688809,568,61427,627382,135,908,135,908,0,0,1036,48.2502,46.8704
17,1,100000,50043,55351,99996,56022,50000,55351,100000,56164,625,80,0,0,97,5,268835,534987,370,533498,1489,1042,7,1042,7,0,0,1063,47.032,47.6708
18,1,100000,50260,55194,100000,56043,50000,55194,100000,56209,610,80,0,0,92,11,245987,500776,527,496558,4218,993,17,993,17,0,0,1008,49.5581,51.1462
19,1,100000,50076,55301,81482,56827,50000,55301,81801,56829,651,0,0,0,99,17,167289,326542,420,321569,4973,639,28,639,28,0,0,1045,47.7328,49.3327
