Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_1_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~600~600~e_RA_fTA~2000~2000~1600~1600~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1680,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,1,100000,50053,55168,66709,57723,50000,55168,67193,57903,684,0,0,0,91,27,125609,222927,953,200539,22388,353,53,353,53,0,0,1043,47.9626,51.067
2,1,100000,50157,55301,57915,99985,50000,55301,58024,100000,609,0,68,0,85,104,657663,1341625,820,73077,1268548,155,870,144,870,0,0,999,50.0551,51.2491
3,1,100000,50000,55301,56323,99983,50000,55301,56426,100000,622,0,95,0,99,102,654142,1372800,820,65847,1306953,139,902,136,902,0,0,1028,48.6378,49.8893
4,1,100000,50233,55139,55549,99986,50000,55139,55585,100000,571,0,77,0,70,104,731895,1435675,982,47681,1387994,108,942,108,942,0,0,1043,47.9319,48.0892
5,1,100000,50156,55162,55690,100000,50000,55162,55816,100000,595,0,89,0,80,106,701107,1416556,959,58650,1357906,118,925,118,925,0,0,1037,48.1776,48.9508
6,1,100000,50198,55301,55588,99993,50000,55301,56187,100000,638,0,73,0,69,108,691731,1420341,820,51504,1368837,102,930,102,930,0,0,1033,48.3614,50.0429
7,1,100000,50289,55238,57097,99992,50000,55238,57132,100000,597,0,84,0,82,107,685259,1456838,883,66447,1390391,144,951,139,951,0,0,1070,46.6978,47.3521
8,1,100000,50000,55032,56815,100000,50000,55032,56829,100000,570,0,87,0,72,99,636191,1319373,1089,58241,1261132,131,873,125,873,0,0,977,51.1609,51.2709
9,1,100000,50002,55388,58951,99995,50000,55388,59076,100000,592,0,81,0,77,103,598114,1366574,733,88110,1278464,177,893,167,893,0,0,1012,49.4085,49.2505
10,1,100000,50330,55308,55467,99991,50000,55308,55534,100000,623,0,78,0,73,106,648432,1382783,813,49942,1332841,101,920,101,920,0,0,1024,48.8495,48.9738
