Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_1_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~800~800~e_RA_fTA~2000~2000~10~10~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1580,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,1,100000,50103,55218,99999,55903,50000,55218,100000,55992,603,81,0,0,95,7,383203,711786,603,710690,1096,1031,13,1031,11,0,0,1051,47.6152,50.9684
2,1,100000,50207,0,99875,0,50000,0,100000,0,613,64,0,0,96,1,355268,691006,0,691006,0,983,0,983,-1,0,0,1003,49.8892,51.2471
3,1,100000,50000,55031,99983,56060,50000,55031,100000,56077,637,80,0,0,100,11,356757,709427,790,706857,2570,1009,14,1009,10,0,0,1032,48.4549,49.7861
4,1,100000,50283,55189,99985,56216,50000,55189,100000,56231,576,72,0,0,97,15,378114,716771,632,712605,4166,1025,23,1025,21,0,0,1049,47.6956,48.0923
5,1,100000,50206,55212,99980,55903,50000,55212,100000,56043,603,81,0,0,98,10,376937,725342,609,723831,1511,1023,12,1023,7,0,0,1037,48.0811,48.7921
6,1,100000,50248,55441,99990,55704,50000,55441,100000,55989,643,68,0,0,99,3,367612,722484,380,721930,554,1020,3,1020,3,0,0,1034,48.3717,50.1158
7,1,100000,50381,55288,99973,55819,50000,55288,100000,55830,603,78,0,0,99,10,375791,747654,533,746439,1215,1051,13,1051,6,0,0,1071,46.5607,47.495
8,1,100000,50000,55082,99979,55715,50000,55082,100000,55820,580,77,0,0,90,11,330139,661943,739,660686,1257,960,15,959,13,0,0,982,50.9613,51.3259
9,1,100000,50000,55415,99995,55810,50000,55415,100000,55820,601,72,0,0,92,2,325986,711313,406,711279,34,999,5,999,3,0,0,1017,49.1762,49.2407
10,1,100000,50000,55480,99990,55823,50000,55480,100000,55841,629,72,0,0,99,5,337864,695041,341,694714,327,1009,7,1009,5,0,0,1031,48.5272,48.8889
