Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_1_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~600~600~e_RA_fTA~2000~2000~200~200~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1680,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,1,100000,50053,55168,66709,55866,50000,55168,67193,55892,684,0,0,0,91,9,98523,179629,453,178042,1587,354,10,354,8,0,0,1043,47.9626,51.067
2,1,100000,50157,55301,99875,55334,50000,55301,100000,55681,613,64,0,0,96,3,269911,499731,320,499251,480,988,2,988,2,0,0,999,50.0551,51.2491
3,1,100000,50000,55301,99958,56581,50000,55301,100000,56777,644,73,0,0,99,24,265824,504846,320,498783,6063,984,28,984,24,0,0,1028,48.6378,49.8893
4,1,100000,50233,55139,55549,57048,50000,55139,55585,57227,648,0,0,0,70,38,26825,56156,482,47681,8475,108,38,108,38,0,0,1043,47.9319,48.0892
5,1,100000,50156,55162,99980,55611,50000,55162,100000,55657,604,80,0,0,96,6,282027,525958,459,525331,627,1025,7,1025,4,0,0,1037,48.1776,48.9508
6,1,100000,50198,55301,55588,56230,50000,55301,56187,56345,711,0,0,0,69,16,27080,54484,320,51504,2980,102,15,102,15,0,0,1033,48.3614,50.0429
7,1,100000,50289,55238,99973,56014,50000,55238,100000,56056,603,78,0,0,98,11,275877,536125,383,534191,1934,1046,15,1046,10,0,0,1070,46.6978,47.3521
8,1,100000,50000,55032,75387,55934,50000,55032,75702,55998,657,0,0,0,79,17,127893,237942,589,234279,3663,474,19,474,16,0,0,977,51.1609,51.2709
9,1,100000,50002,55388,99995,55391,50000,55388,100000,55620,604,69,0,0,89,3,246553,517197,233,516915,282,993,2,993,2,0,0,1012,49.4085,49.2505
10,1,100000,50330,55308,55467,56260,50000,55308,55534,56408,701,0,0,0,73,28,27554,54687,313,49942,4745,101,27,101,27,0,0,1024,48.8495,48.9738
11,1,100000,50002,55073,62095,55918,50000,55073,62593,56063,665,0,0,0,73,14,44590,100094,548,97175,2919,209,15,209,14,0,0,1036,48.2106,46.6832
12,1,100000,50000,55263,55477,57206,50000,55263,55547,57324,680,0,0,0,80,47,41354,65839,358,56287,9552,122,46,122,46,0,0,1089,45.9311,45.8655
13,1,100000,50281,55029,62852,55114,50000,55029,63181,55620,691,0,0,0,85,3,65979,130769,592,130629,140,252,2,252,2,0,0,1033,48.4322,49.1188
14,1,100000,50000,55422,83814,55536,50000,55422,84174,55620,660,0,0,0,90,2,198379,372931,199,372780,151,719,2,719,2,0,0,1036,48.3043,49.1326
15,1,100000,50111,55322,99998,55584,50000,55322,100000,55656,578,65,0,0,96,6,254171,514954,299,514145,809,1020,8,1020,8,0,0,1044,47.9367,47.5189
16,1,100000,50056,55153,55545,56310,50000,55153,55636,56460,642,0,0,0,87,29,44646,70413,468,61427,8986,135,29,135,29,0,0,1036,48.2502,46.8704
17,1,100000,50043,55351,99996,55655,50000,55351,100000,55915,625,80,0,0,97,5,267851,531437,270,530418,1019,1037,6,1037,5,0,0,1063,47.032,47.6708
18,1,100000,50260,55194,100000,55932,50000,55194,100000,55976,610,80,0,0,92,10,244980,497316,427,495008,2308,993,13,993,10,0,0,1008,49.5581,51.1462
19,1,100000,50076,55301,81482,55603,50000,55301,81801,55620,651,0,0,0,99,2,165210,321378,320,321349,29,640,3,640,2,0,0,1045,47.7328,49.3327
20,1,100000,50289,55317,55408,56597,50000,55317,55489,56715,656,0,0,0,88,31,35433,64723,304,58508,6215,113,30,113,30,0,0,1001,49.987,53.3619
21,1,100000,50043,55124,55534,55830,50000,55124,55890,56029,693,0,0,0,81,13,32262,64055,497,61274,2781,123,14,123,14,0,0,1066,46.9052,46.4057
22,1,100000,50189,55303,99989,55506,50000,55303,100000,55630,599,54,0,0,88,5,260571,486625,318,485866,759,954,5,954,4,0,0,971,51.5381,52.2074
23,1,100000,50000,55191,99995,55469,50000,55191,100000,55620,573,61,0,0,84,5,208208,452317,430,451781,536,910,4,909,4,0,0,928,53.9331,52.2927
24,1,100000,50354,55275,99993,55602,50000,55275,100000,55643,632,68,0,0,95,6,261015,506870,346,506086,784,995,11,995,9,0,0,1011,49.4802,49.22
25,1,100000,50103,55115,79461,56185,50000,55115,79797,56331,670,0,0,0,96,11,134384,286010,506,282875,3135,567,16,567,16,0,0,977,51.0861,51.4304
26,1,100000,50281,55111,99994,55371,50000,55111,100000,55620,562,76,0,0,92,4,242357,509916,510,509455,461,1002,4,1002,4,0,0,1023,48.8973,49.1217
27,1,100000,50084,55074,55580,56306,50000,55074,55748,56443,698,0,0,0,85,25,38227,66835,547,59769,7066,122,25,122,25,0,0,1036,48.2319,49.5655
28,1,100000,50103,55055,55481,57192,50000,55055,55613,57330,681,0,0,0,81,53,36856,65521,566,56401,9120,114,53,114,53,0,0,1033,48.3711,49.8825
29,1,100000,50126,55021,65459,55887,50000,55021,66058,55925,682,0,0,0,78,9,59431,138032,600,135671,2361,274,12,274,10,0,0,1001,49.948,48.7979
30,1,100000,50358,55069,55871,55866,50000,55069,56183,56191,687,0,0,0,82,10,31785,56347,552,54261,2086,115,11,115,11,0,0,1038,48.1967,49.2774
31,1,100000,50198,55094,100000,55912,50000,55094,100000,56198,596,73,0,0,94,9,255662,488161,527,486077,2084,981,11,981,10,0,0,1008,49.6207,51.9273
32,1,100000,50000,55282,55485,57196,50000,55282,55543,57366,683,0,0,0,79,54,34201,59368,339,49310,10058,105,53,105,53,0,0,1043,47.9798,47.8237
33,1,100000,50000,55139,78307,55612,50000,55139,78619,55620,652,0,0,0,83,4,127040,263853,482,263663,190,527,5,527,3,0,0,1029,48.5856,49.8609
34,1,100000,50283,55301,99985,55756,50000,55301,100000,55802,599,68,0,0,90,13,252264,518514,320,515520,2994,1017,18,1017,12,0,0,1032,48.3269,47.8674
