Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_2_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~400~400~e_RA_fTA~2000~2000~10~10~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1780,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,2,100000,50013,55041,74857,55604,50000,55041,75114,55604,750,0,0,0,130,2,178834,257410,380,257314,96,732,1,732,1,0,0,1535,32.575,31.8905
2,2,100000,50136,55020,100000,55556,50000,55020,100000,55556,561,120,0,0,138,2,436403,570159,401,570074,85,1625,1,1625,1,0,0,1645,30.413,30.1136
3,2,100000,50007,55034,99952,55331,50000,55034,100000,55420,586,111,0,0,147,1,455263,593766,387,593766,0,1665,0,1665,0,0,0,1679,29.7819,30.5999
4,2,100000,50134,55029,99974,55898,50000,55029,100000,55925,573,115,0,0,134,6,386600,538960,392,538402,558,1529,7,1529,5,0,0,1545,32.318,32.9888
5,2,100000,50000,55159,99997,55741,50000,55159,100000,55741,602,124,0,0,144,3,425670,577298,262,576817,481,1623,2,1623,2,0,0,1640,30.5003,30.5399
6,2,100000,50000,55020,99995,55401,50000,55020,100000,55420,596,103,0,0,142,1,426333,579175,401,579175,0,1635,0,1635,0,0,0,1650,30.3062,31.0547
7,2,100000,50043,55021,99994,55345,50000,55021,100000,55420,549,114,0,0,142,1,440722,580455,400,580455,0,1629,0,1629,0,0,0,1644,30.3956,30.6666
8,2,100000,50013,0,99993,0,50000,0,100000,0,607,100,0,0,140,1,455834,570547,0,570547,0,1627,0,1626,-1,0,0,1643,30.4275,31.53
9,2,100000,50023,55020,99997,55216,50000,55020,100000,55420,584,95,0,0,141,1,423877,571382,401,571382,0,1615,0,1615,0,0,0,1628,30.7105,30.8832
10,2,100000,50000,55020,99996,55245,50000,55020,100000,55420,572,102,0,0,146,1,449267,579656,401,579656,0,1633,0,1633,0,0,0,1644,30.4285,31.5115
11,2,100000,50000,55020,99981,55303,50000,55020,100000,55420,597,118,0,0,133,1,386342,546977,401,546977,0,1548,0,1548,0,0,0,1560,32.0051,31.618
12,2,100000,50000,55182,100000,55360,50000,55182,100000,55420,601,111,0,0,136,1,408038,562345,239,562345,0,1596,0,1595,0,0,0,1614,30.9777,29.167
13,2,100000,50022,55031,99997,55316,50000,55031,100000,55420,598,101,0,0,147,2,426830,569347,390,569323,24,1616,1,1615,1,0,0,1634,30.6111,31.0421
14,2,100000,50000,55035,58290,55362,50000,55035,58580,55420,672,0,0,0,140,1,89531,102622,386,102622,0,291,0,290,0,0,0,1653,30.2645,30.067
15,2,100000,50000,55041,100000,55561,50000,55041,100000,55578,596,111,0,0,142,3,394015,545215,380,545053,162,1557,2,1556,2,0,0,1577,31.7253,31.3386
16,2,100000,50000,55020,99980,55506,50000,55020,100000,55506,611,112,0,0,136,2,415002,562771,401,562763,8,1592,1,1591,1,0,0,1613,31.0019,30.6627
17,2,100000,50000,55020,99991,55452,50000,55020,100000,55452,599,110,0,0,130,4,435533,570882,401,570866,16,1601,3,1601,3,0,0,1611,31.0391,31.2413
18,2,100000,50000,55045,99994,55334,50000,55045,100000,55420,592,116,0,0,143,1,440696,574839,376,574839,0,1620,0,1619,0,0,0,1639,30.5183,31.4952
19,2,100000,50095,55024,99995,55365,50000,55024,100000,55420,606,111,0,0,138,1,410401,551775,397,551775,0,1560,0,1560,0,0,0,1572,31.7899,31.9965
20,2,100000,50000,55107,97705,55267,50000,55107,97964,55420,649,38,0,0,134,1,391710,533241,314,533241,0,1501,0,1501,0,0,0,1577,31.6954,32.1074
21,2,100000,50044,55113,99983,55327,50000,55113,100000,55420,574,108,0,0,130,1,416705,565093,308,565093,0,1596,0,1596,0,0,0,1610,31.0709,30.1419
22,2,100000,50093,55211,99999,55377,50000,55211,100000,55437,617,108,0,0,152,3,445066,599663,210,599429,234,1667,4,1667,4,0,0,1682,29.7418,30.4797
23,2,100000,50000,55096,99999,55319,50000,55096,100000,55420,610,104,0,0,148,1,450843,600842,325,600842,0,1691,0,1691,0,0,0,1699,29.4146,28.8745
24,2,100000,50000,55020,99997,55415,50000,55020,100000,55420,566,130,0,0,138,1,425960,579668,401,579668,0,1624,0,1623,0,0,0,1641,30.4805,30.5569
25,2,100000,50105,55109,99988,56046,50000,55109,100000,56126,581,95,0,0,156,6,450832,600494,312,599328,1166,1665,9,1665,8,0,0,1682,29.7394,30.2096
26,2,100000,50000,55045,99987,55409,50000,55045,100000,55544,606,102,0,0,129,2,374527,537962,376,537826,136,1525,1,1525,1,0,0,1545,32.375,31.801
27,2,100000,50000,55020,99991,55520,50000,55020,100000,55578,603,137,0,0,142,3,401496,554598,401,554485,113,1583,2,1582,2,0,0,1593,31.3788,31.7615
28,2,100000,50000,55039,100000,55557,50000,55039,100000,55557,606,109,0,0,146,3,431938,577233,382,577001,232,1629,2,1628,2,0,0,1642,30.4692,31.56
29,2,100000,50129,55241,99994,55339,50000,55241,100000,55420,600,125,0,0,128,1,388526,559150,180,559150,0,1582,0,1582,0,0,0,1594,31.3421,29.8793
30,2,100000,50023,55133,100000,55993,50000,55133,100000,56042,612,122,0,0,128,5,402935,557710,288,556865,845,1571,6,1571,5,0,0,1592,31.4148,30.6158
31,2,100000,50074,55020,56187,56561,50000,55020,56276,56570,699,0,0,0,125,29,46849,64807,401,62359,2448,186,29,186,28,0,0,1644,30.3956,28.8504
32,2,100000,50000,55020,99999,55404,50000,55020,100000,55420,596,113,0,0,139,1,446547,592596,401,592596,0,1654,0,1654,0,0,0,1667,30.0042,30.7731
33,2,100000,50000,55020,99993,55437,50000,55020,100000,55483,578,105,0,0,136,2,404704,573659,401,573612,47,1616,1,1616,1,0,0,1631,30.6748,29.4135
34,2,100000,50055,55080,99997,55304,50000,55080,100000,55420,603,110,0,0,138,1,408039,549122,341,549122,0,1569,0,1569,0,0,0,1584,31.5452,31.625
35,2,100000,50023,55052,99990,55460,50000,55052,100000,55502,583,99,0,0,131,3,428400,569688,369,569603,85,1602,2,1602,2,0,0,1620,30.866,30.7999
36,2,100000,50066,55020,99990,55338,50000,55020,100000,55420,608,125,0,0,144,1,436621,577750,401,577750,0,1626,0,1626,0,0,0,1644,30.3932,30.2064
37,2,100000,50000,55247,99990,55411,50000,55247,100000,55420,584,109,0,0,149,1,419051,574066,174,574066,0,1615,0,1614,0,0,0,1623,30.8107,30.8198
38,2,100000,50167,55161,100000,55459,50000,55161,100000,55497,599,143,0,0,154,2,443238,592211,260,592172,39,1657,1,1656,1,0,0,1682,29.7436,30.6425
39,2,100000,50000,55036,75204,55204,50000,55036,75421,55420,689,0,0,0,133,1,216085,282879,385,282879,0,811,0,810,0,0,0,1625,30.766,32.2233
40,2,100000,50017,55056,99972,55546,50000,55056,100000,55620,563,124,0,0,134,3,421061,565566,365,565257,309,1602,3,1602,3,0,0,1623,30.8243,31.645
41,2,100000,50095,55277,66174,55387,50000,55277,66393,55420,711,0,0,0,126,1,125298,176667,144,176667,0,503,0,503,0,0,0,1622,30.8155,31.8814
42,2,100000,50035,55078,99990,55201,50000,55078,100000,55420,579,107,0,0,147,1,443754,583238,343,583238,0,1646,0,1646,0,0,0,1659,30.1484,30.3189
43,2,100000,50000,55058,99979,55361,50000,55058,100000,55420,578,100,0,0,137,1,417555,564574,363,564574,0,1588,0,1588,0,0,0,1604,31.1323,30.4235
44,2,100000,50033,55188,99989,55359,50000,55188,100000,55420,601,112,0,0,133,1,445288,567481,233,567481,0,1599,0,1599,0,0,0,1617,30.9165,32.6672
45,2,100000,50000,55033,100000,55622,50000,55033,100000,55622,640,109,0,0,139,2,450757,579596,388,579369,227,1629,2,1629,2,0,0,1650,30.3069,30.9441
46,2,100000,50000,55085,99995,55459,50000,55085,100000,55459,546,126,0,0,137,2,462518,598009,336,597970,39,1676,1,1676,1,0,0,1683,29.717,29.1404
47,2,100000,50011,55020,99999,55487,50000,55020,100000,55807,620,98,0,0,130,2,376847,539351,401,539030,321,1532,1,1532,1,0,0,1558,32.0925,30.6301
48,2,100000,50000,55024,99826,55379,50000,55024,100000,55420,593,101,0,0,129,1,379029,527263,397,527263,0,1497,0,1497,0,0,0,1512,33.0788,33.9618
49,2,100000,50019,55093,99992,55379,50000,55093,100000,55420,604,102,0,0,131,1,396737,559845,328,559845,0,1579,0,1578,0,0,0,1591,31.4277,30.7216
50,2,100000,50000,55081,99999,55387,50000,55081,100000,55420,647,105,0,0,144,1,422107,575841,340,575841,0,1633,0,1633,0,0,0,1647,30.3676,30.3547
51,2,100000,50112,55080,99996,55383,50000,55080,100000,55420,595,122,0,0,144,1,428409,578438,341,578438,0,1621,0,1621,0,0,0,1635,30.5747,29.1091
52,2,100000,50000,55020,55642,56124,50000,55020,55678,56133,693,0,0,0,108,18,37617,55644,401,54314,1330,161,18,161,16,0,0,1605,31.1621,31.7268
53,2,100000,50000,55020,56944,55308,50000,55020,57234,55420,710,0,0,0,125,1,54775,78551,401,78551,0,219,0,219,0,0,0,1690,29.5921,29.5149
54,2,100000,50001,55020,99994,55380,50000,55020,100000,55420,590,102,0,0,131,1,389206,550424,401,550424,0,1548,0,1547,0,0,0,1564,31.9616,32.3196
55,2,100000,50216,55034,99999,55469,50000,55034,100000,55530,581,119,0,0,136,2,436853,564375,387,564313,62,1594,1,1594,1,0,0,1614,30.9975,31.1952
56,2,100000,50000,55027,99992,55226,50000,55027,100000,55420,609,122,0,0,136,1,412315,560932,394,560932,0,1588,0,1587,0,0,0,1603,31.1567,31.741
57,2,100000,50062,55020,99974,55370,50000,55020,100000,55420,579,116,0,0,131,3,394371,549784,401,549718,66,1559,2,1559,2,0,0,1575,31.7618,31.1729
58,2,100000,50011,55195,99987,55460,50000,55195,100000,55473,543,106,0,0,145,2,453704,591981,226,591967,14,1666,1,1666,1,0,0,1680,29.7635,29.4
59,2,100000,50054,55020,99998,55161,50000,55020,100000,55420,595,112,0,0,143,1,406230,566261,401,566261,0,1610,0,1609,0,0,0,1622,30.8384,32.4965
60,2,100000,50213,55040,99988,55341,50000,55040,100000,55420,531,99,0,0,138,2,407324,557650,381,557519,131,1572,1,1572,1,0,0,1583,31.598,31.0133
61,2,100000,50000,55176,99951,55384,50000,55176,100000,55420,611,98,0,0,143,1,447171,600966,245,600966,0,1667,0,1666,0,0,0,1680,29.7784,31.037
62,2,100000,50078,55068,81964,55381,50000,55068,82180,55420,666,0,0,0,128,1,265144,357883,353,357883,0,1016,0,1016,0,0,0,1564,31.9827,32.2657
63,2,100000,50000,55070,99997,55392,50000,55070,100000,55420,629,131,0,0,151,1,479295,603534,351,603534,0,1692,0,1691,0,0,0,1700,29.3832,29.4545
64,2,100000,50000,55052,99999,55353,50000,55052,100000,55420,600,111,0,0,126,1,369962,531033,369,531033,0,1528,0,1528,0,0,0,1560,32.0532,32.3682
65,2,100000,50000,55062,99995,55240,50000,55062,100000,55420,598,118,0,0,139,1,451626,590110,359,590110,0,1664,0,1663,0,0,0,1676,29.8,30.78
66,2,100000,50000,55048,100000,55975,50000,55048,100000,55975,609,103,0,0,131,6,400255,555922,373,554700,1222,1570,8,1569,7,0,0,1591,31.4069,31.7694
67,2,100000,50006,55020,99995,55448,50000,55020,100000,55471,628,98,0,0,134,2,409743,556193,401,556169,24,1580,1,1580,1,0,0,1593,31.3964,30.636
68,2,100000,50000,55058,99999,55460,50000,55058,100000,55460,639,114,0,0,144,2,433162,581531,363,581529,2,1639,1,1639,1,0,0,1653,30.2591,31.3508
69,2,100000,50031,55057,99974,55442,50000,55057,100000,55442,635,110,0,0,144,2,416171,561965,364,561957,8,1583,1,1583,1,0,0,1604,31.189,30.8421
70,2,100000,50014,55173,99999,55353,50000,55173,100000,55420,555,128,0,0,142,1,424832,582807,248,582807,0,1629,0,1629,0,0,0,1645,30.413,31.2811
71,2,100000,50154,55204,99996,55397,50000,55204,100000,55420,604,109,0,0,134,1,423826,579948,217,579948,0,1633,0,1631,0,0,0,1649,30.3356,30.0892
72,2,100000,50000,55175,99986,55489,50000,55175,100000,55489,618,110,0,0,134,2,399272,544821,246,544760,61,1546,1,1546,1,0,0,1560,32.0635,32.7538
73,2,100000,50000,55020,99977,55367,50000,55020,100000,55420,552,127,0,0,141,2,470724,603727,401,603727,0,1671,1,1671,0,0,0,1686,29.6362,30.556
74,2,100000,50010,55020,99994,55344,50000,55020,100000,55420,588,130,0,0,133,1,424946,579225,401,579225,0,1627,0,1627,0,0,0,1641,30.478,31.2364
75,2,100000,50088,55194,99932,55705,50000,55194,100000,55705,605,92,0,0,141,3,408518,560629,227,560377,252,1572,2,1572,2,0,0,1587,31.5221,32.9479
76,2,100000,50000,55115,99978,55282,50000,55115,100000,55420,567,110,0,0,133,1,382023,549362,306,549362,0,1555,0,1555,0,0,0,1564,31.9898,32.9525
77,2,100000,50005,55124,99824,55412,50000,55124,100000,55562,585,85,0,0,139,3,436212,577533,297,577239,294,1613,2,1613,2,0,0,1639,30.5189,30.4693
78,2,100000,50000,55021,99981,55383,50000,55021,100000,55420,597,99,0,0,126,4,424324,574201,400,574077,124,1606,3,1606,3,0,0,1616,30.9207,30.5306
79,2,100000,50000,55050,99981,55346,50000,55050,100000,55420,594,99,0,0,141,1,418681,568856,371,568856,0,1602,0,1602,0,0,0,1612,30.9659,30.6685
80,2,100000,50040,55021,99990,55332,50000,55021,100000,55420,656,92,0,0,137,1,440516,570189,400,570189,0,1600,0,1599,0,0,0,1616,30.9084,30.5932
81,2,100000,50016,55020,99998,55436,50000,55020,100000,55470,592,112,0,0,146,2,408101,571038,401,571003,35,1605,1,1605,1,0,0,1632,30.6475,30.1143
82,2,100000,50151,55058,88469,55436,50000,55058,88722,55444,716,0,0,0,137,3,326982,438981,363,438972,9,1239,2,1239,1,0,0,1633,30.5962,30.7322
83,2,100000,50012,55281,99996,55281,50000,55281,100000,55420,593,120,0,0,133,1,448659,580786,140,580786,0,1644,0,1644,0,0,0,1647,30.3262,31.2144
84,2,100000,50151,55053,99997,55413,50000,55053,100000,55451,603,127,0,0,142,2,419013,582364,368,582325,39,1641,1,1641,1,0,0,1650,30.3056,29.5936
85,2,100000,50000,55020,99986,55347,50000,55020,100000,55420,588,106,0,0,144,1,408757,576883,401,576883,0,1625,0,1624,0,0,0,1640,30.4283,29.4207
86,2,100000,50000,55095,99998,55500,50000,55095,100000,55500,648,102,0,0,140,3,396795,539591,326,539418,173,1541,4,1541,3,0,0,1567,31.9106,33.1334
87,2,100000,50044,55020,100000,55166,50000,55020,100000,55420,609,113,0,0,143,1,460915,591102,401,591102,0,1649,0,1648,0,0,0,1659,30.1273,30.2263
88,2,100000,50000,55020,99994,55487,50000,55020,100000,55493,567,107,0,0,138,3,396161,549104,401,548885,219,1558,3,1558,3,0,0,1578,31.6931,32.1107
89,2,100000,50077,55020,99996,55253,50000,55020,100000,55420,578,132,0,0,150,1,445534,585085,401,585085,0,1642,0,1642,0,0,0,1655,30.2044,29.8436
90,2,100000,50000,55054,99996,55900,50000,55054,100000,55900,594,122,0,0,145,4,402476,578534,367,577740,794,1623,5,1623,5,0,0,1638,30.54,31.1364
91,2,100000,50009,55043,99998,55207,50000,55043,100000,55420,543,117,0,0,135,1,394623,557530,378,557530,0,1578,0,1577,0,0,0,1607,31.1308,30.6755
92,2,100000,50000,55023,99987,55345,50000,55023,100000,55420,599,111,0,0,153,1,437989,594858,398,594858,0,1662,0,1662,0,0,0,1673,29.9037,30.1231
