Lambda_0.01_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_1_Ny_0_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_100_malicious_appear_num_1_malicious_appear_type_0_Method_1_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~300~300~e_RA_fTA~2000~2000~1200~1200~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,1,100000,50026,0,60011,0,50000,0,60241,0,85,0,0,0,68,0,56726,57668,0,57668,0,216,0,216,-1,0,0,981,50.9153,49.1819
2,1,100000,50237,0,61787,0,50000,0,62066,0,83,0,0,0,62,0,49957,66209,0,66209,0,246,0,246,-1,0,0,970,51.5841,51.6261
3,1,100000,50017,0,51101,0,50000,0,51371,0,84,0,0,0,26,0,4909,6423,0,6423,0,26,0,26,-1,0,0,1032,48.4782,49.9662
4,1,100000,50000,0,87978,0,50000,0,88193,0,124,0,0,0,69,0,181371,217445,0,217445,0,803,0,803,-1,0,0,1036,48.3034,46.4795
5,1,100000,50008,0,56474,0,50000,0,56735,0,100,0,0,0,54,0,35431,38252,0,38252,0,142,0,142,-1,0,0,997,50.1807,50.8235
6,1,100000,50032,0,67114,0,50000,0,67413,0,85,0,0,0,49,0,56567,78271,0,78271,0,297,0,297,-1,0,0,963,51.9647,51.6829
7,1,100000,50000,0,99992,0,50000,0,100000,0,49,57,0,0,62,0,232067,278967,0,278967,0,1040,0,1040,-1,0,0,1042,48.0231,46.4891
8,1,100000,50000,0,53987,0,50000,0,54273,0,96,0,0,0,65,0,26067,25466,0,25466,0,93,0,93,-1,0,0,1009,49.5516,48.9475
9,1,100000,50000,0,52950,0,50000,0,53249,0,98,0,0,0,50,0,10183,14270,0,14270,0,59,0,58,-1,0,0,1025,48.7979,49.2262
10,1,100000,50103,0,72153,0,50000,0,72334,0,114,0,0,0,67,0,96069,122410,0,122410,0,449,0,449,-1,0,0,982,50.9531,48.4207
