Lambda_0.01_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_1_Ny_0_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_6_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~400~400~e_RA_fTA~2000~2000~1600~1600~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1780,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,6,100000,50051,55044,99990,56386,50000,55044,100000,56535,49,36,0,0,73,17,339391,395695,977,386317,9378,978,33,978,33,0,0,983,50.8788,49.1927
2,6,100000,50262,55046,99933,56103,50000,55046,100000,56132,50,33,0,0,73,5,308709,376432,975,375314,1118,969,15,969,15,0,0,973,51.4311,51.5061
3,6,100000,50042,55026,99144,56303,50000,55026,99482,56340,57,27,0,0,67,11,323064,403686,995,398326,5360,1019,26,1019,26,0,0,1034,48.3717,49.9384
4,6,100000,50000,55255,99994,56201,50000,55255,100000,56295,73,51,0,0,72,9,322831,396460,766,392839,3621,1037,17,1035,17,0,0,1041,48.076,46.4219
5,6,100000,50000,55059,60503,55792,50000,55059,60902,56020,100,0,0,0,66,2,83085,96456,962,96338,118,220,1,219,1,0,0,1001,49.984,50.7696
6,6,100000,50057,55141,100000,55882,50000,55141,100000,56020,45,40,0,0,66,1,285919,360528,880,360528,0,960,0,960,0,0,0,965,51.8506,51.618
7,6,100000,50000,55021,99992,56052,50000,55021,100000,56093,49,57,0,0,67,5,318392,396007,1000,394821,1186,1040,10,1040,10,0,0,1044,47.9223,46.3551
8,6,100000,50033,55011,93312,55841,50000,55011,93627,56020,96,0,0,0,67,2,303262,345147,1010,345146,1,891,2,891,1,0,0,1010,49.4529,48.9313
9,6,100000,50000,0,52949,0,50000,0,53299,0,98,0,0,0,50,1,14745,20537,0,20537,0,59,0,59,-1,0,0,1028,48.6066,49.2273
10,6,100000,50128,55016,72153,56050,50000,55016,72384,56102,114,0,0,0,68,5,140470,184898,1005,183772,1126,449,15,449,15,0,0,984,50.7986,48.3923
11,6,100000,50040,55010,99996,55990,50000,55010,100000,56020,65,54,0,0,79,6,380117,408632,1011,408053,579,1055,5,1055,5,0,0,1059,47.2363,47.1554
12,6,100000,50002,55058,74144,56178,50000,55058,74431,56178,104,0,0,0,64,3,135297,184679,963,184389,290,461,3,461,3,0,0,1001,49.954,48.3389
13,6,100000,50000,55002,64624,55989,50000,55002,64996,56020,93,0,0,0,55,3,73958,110145,1019,109768,377,271,7,270,7,0,0,961,51.9375,51.7805
14,6,100000,50000,55016,83937,56174,50000,55016,84156,56239,96,0,0,0,68,7,245651,297860,1005,294831,3029,734,20,734,20,0,0,1026,48.7327,49.0159
15,6,100000,50044,55054,98006,56228,50000,55054,98292,56326,94,6,0,0,74,7,316034,377860,967,374410,3450,964,18,964,18,0,0,1007,49.6958,50.0201
16,6,100000,50008,55032,74507,56159,50000,55032,74903,56159,90,0,0,0,59,4,133643,187004,989,186202,802,471,11,471,11,0,0,975,51.2895,48.2423
17,6,100000,50007,55125,99968,56278,50000,55125,100000,56329,51,51,0,0,66,9,323236,377942,896,373620,4322,980,22,980,22,0,0,983,50.8574,52.6288
18,6,100000,50156,55018,99999,56055,50000,55018,100000,56075,44,51,0,0,65,5,330322,406603,1003,405647,956,1047,14,1047,14,0,0,1053,47.385,46.6509
19,6,100000,50000,0,53411,0,50000,0,53710,0,130,0,0,0,44,1,14485,21183,0,21183,0,63,0,63,-1,0,0,1020,49.0579,49.5316
20,6,100000,50000,55048,86238,56060,50000,55048,86544,56132,96,0,0,0,65,6,215299,281318,973,280053,1265,723,12,723,12,0,0,960,52.0834,52.8862
21,6,100000,50001,55036,99892,56245,50000,55036,100000,56246,69,50,0,0,67,6,349989,396342,985,394432,1910,1019,18,1019,18,0,0,1027,48.732,49.8717
22,6,100000,50000,55002,98330,56279,50000,55002,98729,56305,75,7,0,0,65,7,300469,376933,1019,374451,2482,973,12,972,12,0,0,997,50.1185,50.9499
23,6,100000,50050,55003,99993,55969,50000,55003,100000,56020,59,63,0,0,64,1,331362,381933,1018,381933,0,999,0,999,0,0,0,1004,49.8345,50.68
24,6,100000,50000,55035,99999,55920,50000,55035,100000,56031,51,47,0,0,75,4,319301,390943,986,390161,782,1021,10,1021,10,0,0,1027,48.7173,48.2482
25,6,100000,50034,55071,65952,55948,50000,55071,66174,56020,85,0,0,0,56,3,100082,132628,950,132354,274,302,8,302,7,0,0,992,50.3935,48.8135
26,6,100000,50000,55004,74631,55791,50000,55004,74901,56020,109,0,0,0,69,2,159601,192507,1017,192491,16,487,1,486,1,0,0,980,50.9969,54.8777
27,6,100000,50000,55150,86975,56478,50000,55150,87276,56525,132,0,0,0,77,12,256675,301643,871,293441,8202,740,28,740,28,0,0,1020,48.9912,49.2797
28,6,100000,50000,55014,63673,56083,50000,55014,63908,56149,93,0,0,0,59,6,91619,116846,1007,115469,1377,266,13,266,13,0,0,956,52.3204,52.3159
29,6,100000,50083,55001,65880,56040,50000,55001,66241,56040,96,0,0,0,70,2,117086,137564,1020,137563,1,324,1,324,1,0,0,1016,49.2611,48.2722
30,6,100000,50000,55038,59261,56169,50000,55038,59618,56228,100,0,0,0,65,9,73664,100017,983,95880,4137,200,24,199,24,0,0,1000,49.991,49.1543
31,6,100000,50016,0,51448,0,50000,0,51704,0,90,0,0,0,26,1,5425,8438,0,8438,0,26,0,26,-1,0,0,947,52.6913,53.4308
32,6,100000,50000,55035,99986,55903,50000,55035,100000,56020,59,36,0,0,64,1,334879,392123,986,392123,0,1040,0,1039,0,0,0,1041,48.0635,48.8863
33,6,100000,50042,55037,67063,55839,50000,55037,67420,56020,110,0,0,0,70,4,154227,146966,984,146709,257,345,5,345,5,0,0,981,51.0163,52.2089
34,6,100000,50000,55019,99984,56226,50000,55019,100000,56384,54,48,0,0,73,8,346523,417036,1002,413368,3668,1071,17,1071,17,0,0,1076,46.3321,45.5149
35,6,100000,50018,55022,59535,55958,50000,55022,59833,56040,111,0,0,0,77,8,100804,108809,999,107212,1597,226,18,226,18,0,0,1005,49.742,49.1921
36,6,100000,50000,55029,99995,56094,50000,55029,100000,56118,64,49,0,0,62,4,342509,386999,992,386163,836,1011,10,1010,10,0,0,1014,49.3386,47.5979
37,6,100000,50009,55094,68655,56299,50000,55094,69054,56332,105,0,0,0,66,8,134750,166185,927,163587,2598,391,15,391,15,0,0,1032,48.4345,49.45
