Lambda_0.01_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_1_Ny_0_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_6_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~600~600~e_RA_fTA~2000~2000~200~200~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1680,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,6,100000,50000,55094,99990,55715,50000,55094,100000,55790,48,37,0,0,71,6,449357,552322,527,551653,669,981,5,981,5,0,0,988,50.619,49.1469
2,6,100000,50000,55096,99928,55566,50000,55096,100000,55620,48,35,0,0,74,1,444377,547679,525,547679,0,971,0,971,0,0,0,974,51.2754,51.586
3,6,100000,50092,55076,99988,55545,50000,55076,100000,55620,46,38,0,0,67,1,460944,578831,545,578831,0,1030,0,1030,0,0,0,1037,48.2471,49.9992
4,6,100000,50000,55037,99994,55570,50000,55037,100000,55620,71,53,0,0,74,1,475240,583063,584,583063,0,1041,0,1041,0,0,0,1048,47.745,46.4474
5,6,100000,50000,55109,99985,55657,50000,55109,100000,55838,47,53,0,0,61,3,477718,556921,512,556557,364,997,2,997,2,0,0,1005,49.8008,50.6648
6,6,100000,50012,55020,100000,55638,50000,55020,100000,55696,41,44,0,0,69,3,423001,540539,601,540421,118,965,2,965,2,0,0,970,51.5893,51.5562
7,6,100000,50008,55023,99992,55551,50000,55023,100000,55620,47,59,0,0,66,1,466082,585582,598,585582,0,1041,0,1041,0,0,0,1049,47.6851,46.5104
8,6,100000,50027,55045,99998,55571,50000,55045,100000,55620,53,43,0,0,68,1,485518,570754,576,570754,0,1009,0,1009,0,0,0,1011,49.305,48.9185
9,6,100000,50000,55182,99984,55650,50000,55182,100000,55777,38,60,0,0,72,3,506969,572541,439,572285,256,1019,2,1019,2,0,0,1030,48.5695,49.0072
10,6,100000,50000,55020,99991,55599,50000,55020,100000,55620,63,51,0,0,69,1,434409,551982,601,551982,0,984,0,984,0,0,0,992,50.4309,48.4383
11,6,100000,50002,55020,99999,55607,50000,55020,100000,55692,62,57,0,0,75,2,543024,594318,601,594232,86,1058,1,1058,1,0,0,1064,47.0179,47.1217
12,6,100000,50052,55108,74144,55534,50000,55108,74531,55620,104,0,0,0,65,1,187108,257791,513,257791,0,461,0,461,0,0,0,1001,49.854,48.2793
13,6,100000,50000,55025,99971,55541,50000,55025,100000,55620,50,43,0,0,78,1,431616,534711,596,534711,0,959,0,959,0,0,0,966,51.7834,52.1925
14,6,100000,50068,55020,99994,55596,50000,55020,100000,55620,56,40,0,0,71,6,446955,575212,601,574978,234,1020,6,1020,6,0,0,1029,48.6304,49.1389
15,6,100000,50094,55104,99996,55632,50000,55104,100000,55709,53,47,0,0,75,6,464734,564653,517,564159,494,1005,6,1005,6,0,0,1009,49.5466,49.8575
16,6,100000,50000,55020,99999,55595,50000,55020,100000,55620,45,45,0,0,68,1,422662,546361,601,546361,0,974,0,974,0,0,0,978,51.086,48.2274
17,6,100000,50057,55175,99994,55723,50000,55175,100000,55726,49,53,0,0,68,2,461530,549478,446,549474,4,980,1,980,1,0,0,986,50.7431,52.8164
18,6,100000,50000,55020,99999,55463,50000,55020,100000,55620,44,51,0,0,67,1,487052,595047,601,595047,0,1047,0,1047,0,0,0,1056,47.3934,47.0318
19,6,100000,50000,55037,99994,55599,50000,55037,100000,55620,63,67,0,0,72,1,478917,564634,584,564634,0,1013,0,1013,0,0,0,1022,48.8639,49.6209
20,6,100000,50000,55020,99993,55518,50000,55020,100000,55620,44,52,0,0,68,2,386580,534318,601,534297,21,961,1,960,1,0,0,965,51.8589,53.0056
21,6,100000,50000,55020,99954,55590,50000,55020,100000,55620,64,55,0,0,68,1,511527,574354,601,574354,0,1027,0,1024,0,0,0,1031,48.5272,49.7995
22,6,100000,50000,55020,99981,55642,50000,55020,100000,55833,51,31,0,0,68,3,446671,562480,601,562096,384,998,2,998,2,0,0,1002,49.9311,50.9555
23,6,100000,50000,55020,99995,55742,50000,55020,100000,55746,57,65,0,0,66,2,473413,564241,601,564236,5,1002,1,1002,1,0,0,1009,49.5437,50.5535
24,6,100000,50105,55020,99999,55578,50000,55020,100000,55620,50,48,0,0,69,1,467424,577232,601,577232,0,1021,0,1021,0,0,0,1029,48.6196,48.2531
25,6,100000,50000,55020,99995,56029,50000,55020,100000,56029,43,42,0,0,66,5,434984,555264,601,554028,1236,989,4,988,4,0,0,995,50.2706,48.7353
26,6,100000,50002,55037,99995,55593,50000,55037,100000,55620,59,50,0,0,71,1,460413,546643,584,546643,0,979,0,979,0,0,0,984,50.8647,54.8725
27,6,100000,50000,55051,99993,55618,50000,55051,100000,55729,62,70,0,0,75,6,483731,572336,570,571777,559,1021,5,1021,5,0,0,1028,48.6777,49.3597
28,6,100000,50180,55064,99983,55577,50000,55064,100000,55620,46,47,0,0,59,1,411929,535488,557,535488,0,951,0,951,0,0,0,957,52.2835,52.3283
29,6,100000,50000,55051,99988,55659,50000,55051,100000,55772,57,39,0,0,63,3,458528,569611,570,569448,163,1012,3,1012,2,0,0,1020,49.0638,48.1944
30,6,100000,50040,55020,59387,55569,50000,55020,59970,55620,100,0,0,0,63,1,84083,113928,601,113928,0,203,0,203,0,0,0,1003,49.8812,49.1415
31,6,100000,50066,55020,99988,55538,50000,55020,100000,55620,49,41,0,0,67,1,434683,528515,601,528515,0,940,0,940,0,0,0,949,52.7363,53.7358
32,6,100000,50000,55027,99984,55708,50000,55027,100000,55733,59,36,0,0,66,2,497093,587203,594,587177,26,1041,1,1041,1,0,0,1044,47.8293,48.8522
33,6,100000,50092,55020,100000,55531,50000,55020,100000,55620,56,54,0,0,71,1,481735,545237,601,545237,0,979,0,979,0,0,0,983,50.8982,52.1667
34,6,100000,50061,55061,99992,55553,50000,55061,100000,55620,53,49,0,0,70,1,497621,606959,560,606959,0,1071,0,1070,0,0,0,1077,46.4303,45.8221
35,6,100000,50068,55020,99997,55530,50000,55020,100000,55620,72,39,0,0,70,1,443058,560722,601,560722,0,999,0,999,0,0,0,1007,49.662,49.172
36,6,100000,50019,55078,99995,55551,50000,55078,100000,55620,62,51,0,0,65,1,499638,573447,543,573447,0,1014,0,1014,0,0,0,1017,49.188,47.7965
37,6,100000,50000,55144,99998,55461,50000,55144,100000,55620,62,43,0,0,76,1,474808,576271,477,576271,0,1028,0,1028,0,0,0,1034,48.3611,49.0941
38,6,100000,50011,55088,99999,55553,50000,55088,100000,55620,52,52,0,0,89,1,524484,610227,533,610227,0,1076,0,1076,0,0,0,1083,46.1386,44.3109
39,6,100000,50054,55186,99994,55692,50000,55186,100000,55692,50,53,0,0,63,3,362069,507347,435,507342,5,920,3,920,3,0,0,928,53.8964,53.5128
40,6,100000,50000,55028,99985,55671,50000,55028,100000,55677,52,47,0,0,63,2,424741,548639,593,548632,7,983,1,983,1,0,0,989,50.5729,49.5966
41,6,100000,50105,55020,99990,55600,50000,55020,100000,55620,68,47,0,0,77,3,441523,566217,601,566187,30,1009,2,1009,2,0,0,1012,49.3145,48.6876
42,6,100000,50000,55020,99998,55439,50000,55020,100000,55620,61,50,0,0,68,1,441058,547198,601,547198,0,984,0,984,0,0,0,995,50.2374,50.8479
43,6,100000,50017,55020,99984,55667,50000,55020,100000,55673,59,38,0,0,71,3,403597,544778,601,544763,15,968,2,968,2,0,0,977,51.2039,51.2613
44,6,100000,50000,55020,99985,55651,50000,55020,100000,55719,61,40,0,0,60,3,434295,519336,601,519092,244,936,2,936,2,0,0,940,53.2375,56.7586
45,6,100000,50042,55080,99998,55698,50000,55080,100000,55722,37,43,0,0,69,2,504894,574333,541,574308,25,1029,1,1029,1,0,0,1040,48.1193,48.2044
46,6,100000,50000,55048,95769,55685,50000,55048,96100,55742,104,0,0,0,66,4,446370,527622,573,527509,113,938,3,938,3,0,0,1028,48.6826,53.1561
47,6,100000,50000,55071,100000,55568,50000,55071,100000,55620,71,69,0,0,70,1,510908,608417,550,608417,0,1083,0,1081,0,0,0,1085,46.1245,45.0497
48,6,100000,50000,55047,99999,55570,50000,55047,100000,55620,48,39,0,0,64,1,380600,510681,574,510681,0,926,0,926,0,0,0,930,53.704,52.9782
49,6,100000,50000,55080,99999,55543,50000,55080,100000,55620,55,51,0,0,67,1,471948,576577,541,576577,0,1022,0,1021,0,0,0,1028,48.5716,50.2976
50,6,100000,50000,55020,99973,55576,50000,55020,100000,55620,55,54,0,0,73,3,507480,580655,601,580544,111,1036,3,1036,3,0,0,1043,47.904,48.7984
51,6,100000,50000,55114,99994,55679,50000,55114,100000,55766,52,54,0,0,67,3,480836,585373,507,585197,176,1037,2,1036,2,0,0,1051,47.5629,45.8579
52,6,100000,50080,55020,99992,55687,50000,55020,100000,55702,56,50,0,0,66,2,448822,559223,601,559207,16,996,1,996,1,0,0,1000,50.034,51.6973
53,6,100000,50079,55083,99978,55617,50000,55083,100000,55674,49,53,0,0,73,3,448540,566321,538,566089,232,1006,4,1006,4,0,0,1014,49.3317,47.933
54,6,100000,50000,55021,99995,55680,50000,55021,100000,55727,40,45,0,0,73,2,500848,578296,600,578248,48,1027,1,1026,1,0,0,1035,48.3337,48.5994
55,6,100000,50002,55092,100000,55515,50000,55092,100000,55620,55,63,0,0,66,2,451936,542606,529,542485,121,972,1,972,1,0,0,982,50.9205,50.5331
56,6,100000,50000,55023,100000,55616,50000,55023,100000,55620,55,34,0,0,70,2,466533,553791,598,553789,2,984,1,982,1,0,0,993,50.376,52.0198
57,6,100000,50000,55020,99999,55598,50000,55020,100000,55620,62,48,0,0,72,1,485363,585592,601,585592,0,1039,0,1038,0,0,0,1049,47.6937,47.9617
58,6,100000,50000,55020,99945,55562,50000,55020,100000,55620,66,48,0,0,64,2,410764,536870,601,536851,19,962,1,961,1,0,0,968,51.5791,54.086
59,6,100000,50000,55020,99978,55638,50000,55020,100000,55646,51,48,0,0,75,2,440751,562922,601,562913,9,1003,1,1002,1,0,0,1008,49.6087,48.0761
60,6,100000,50013,55030,99980,55595,50000,55030,100000,55620,54,36,0,0,64,1,450518,568266,591,568266,0,1010,0,1010,0,0,0,1018,49.1219,51.3076
61,6,100000,50000,55020,85178,55634,50000,55020,85754,55833,103,0,0,0,72,2,335770,399477,601,399277,200,709,1,709,1,0,0,1021,49.0147,51.1436
62,6,100000,50000,55037,99996,55675,50000,55037,100000,55686,70,57,0,0,75,5,478555,555808,584,555701,107,989,7,988,7,0,0,993,50.3115,50.7093
63,6,100000,50000,55022,100000,55429,50000,55022,100000,55620,57,55,0,0,64,2,408646,538977,599,538849,128,966,1,966,1,0,0,976,51.2605,51.4202
64,6,100000,50077,55025,99980,55729,50000,55025,100000,55761,54,53,0,0,72,4,517299,590288,596,589908,380,1046,3,1046,3,0,0,1053,47.5038,47.6614
65,6,100000,50000,55020,99973,55696,50000,55020,100000,55714,57,52,0,0,66,2,481914,581042,601,581023,19,1031,1,1031,1,0,0,1035,48.1634,50.3385
66,6,100000,50000,55031,99998,55555,50000,55031,100000,55620,46,65,0,0,69,1,546572,598392,590,598392,0,1067,0,1067,0,0,0,1074,46.5732,48.6273
67,6,100000,50069,55059,99995,55605,50000,55059,100000,55753,45,49,0,0,68,2,436856,560156,562,560007,149,996,1,996,1,0,0,1001,49.944,52.2816
68,6,100000,50067,55061,99999,55539,50000,55061,100000,55620,61,46,0,0,72,1,460261,570888,560,570888,0,1013,0,1013,0,0,0,1018,49.1249,48.9239
69,6,100000,50106,55063,99962,55567,50000,55063,100000,55620,48,33,0,0,72,1,481141,552011,558,552011,0,991,0,991,0,0,0,995,50.2636,52.8611
70,6,100000,50000,55035,99997,55641,50000,55035,100000,55647,60,48,0,0,61,2,390874,519746,586,519697,49,928,2,928,2,0,0,933,53.5912,54.2781
71,6,100000,50000,55020,99985,55387,50000,55020,100000,55620,51,53,0,0,78,1,505749,572799,601,572799,0,1020,0,1020,0,0,0,1030,48.5763,52.7471
72,6,100000,50000,55020,99991,55471,50000,55020,100000,55620,67,67,0,0,67,1,529966,592974,601,592974,0,1056,0,1055,0,0,0,1064,47.0028,48.0894
73,6,100000,50000,55020,99971,55684,50000,55020,100000,55744,50,54,0,0,60,2,432845,553918,601,553857,61,987,1,987,1,0,0,994,50.282,49.4546
