Lambda_0.01_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_1_Ny_0_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_6_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~600~600~e_RA_fTA~2000~2000~3500~3500~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1680,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,6,100000,50000,55094,99990,57162,50000,55094,100000,57234,48,37,0,0,98,11,581173,681329,1977,671444,9885,981,54,981,54,0,0,988,50.619,49.1469
2,6,100000,50000,55096,99928,57069,50000,55096,100000,57122,48,35,0,0,91,5,505944,639794,1975,638112,1682,971,28,971,28,0,0,974,51.2754,51.586
3,6,100000,50092,55076,99988,57034,50000,55076,100000,57070,46,38,0,0,87,2,556221,685231,1995,685230,1,1030,1,1030,1,0,0,1037,48.2471,49.9992
4,6,100000,50000,55037,99994,57057,50000,55037,100000,57144,71,53,0,0,79,3,535826,666471,2034,666181,290,1041,3,1041,3,0,0,1048,47.745,46.4474
5,6,100000,50000,55109,99985,57045,50000,55109,100000,57159,47,53,0,0,87,9,546548,646657,1962,642613,4044,997,32,997,32,0,0,1005,49.8008,50.6648
6,6,100000,50012,55009,100000,57068,50000,55009,100000,57126,41,44,0,0,69,5,463094,598624,2062,597346,1278,965,18,965,18,0,0,970,51.5893,51.5562
7,6,100000,50008,55023,99992,57104,50000,55023,100000,57104,47,59,0,0,89,2,552276,686397,2048,686362,35,1041,2,1041,2,0,0,1049,47.6851,46.5104
8,6,100000,50027,55045,99998,56909,50000,55045,100000,57070,53,43,0,0,72,5,535896,636411,2026,635599,812,1009,20,1009,20,0,0,1011,49.305,48.9185
9,6,100000,50000,55182,99984,57183,50000,55182,100000,57310,38,60,0,0,79,12,611975,676565,1889,666645,9920,1019,41,1019,41,0,0,1030,48.5695,49.0072
10,6,100000,50000,55001,99991,56827,50000,55001,100000,57070,63,51,0,0,85,4,483121,632202,2070,631809,393,984,12,984,12,0,0,992,50.4309,48.4383
