50001, 852, 1, 0, 0, 0, 0, 0, 0, 2, 0
50021, 851, 1, 0, 0, 0, 0, 0, 0, 22, 0
50041, 851, 3, 0, 0, 0, 0, 0, 0, 77, 104
50061, 845, 3, 0, 0, 0, 0, 0, 0, 137, 154
50081, 844, 3, 0, 0, 0, 0, 0, 0, 169, 166
50101, 845, 3, 0, 0, 0, 0, 0, 0, 189, 166
50121, 841, 4, 0, 0, 0, 0, 0, 0, 212, 173
50141, 842, 4, 0, 0, 0, 0, 0, 0, 252, 205
50161, 843, 5, 0, 0, 0, 0, 0, 0, 311, 244
50181, 838, 6, 0, 0, 0, 0, 0, 0, 385, 273
50201, 838, 7, 0, 0, 0, 0, 0, 0, 482, 340
50221, 838, 7, 0, 0, 0, 0, 0, 0, 582, 388
50241, 844, 7, 0, 0, 0, 0, 0, 0, 682, 402
50261, 842, 7, 0, 0, 0, 0, 0, 0, 775, 402
50281, 841, 7, 0, 0, 0, 0, 0, 0, 855, 402
50301, 840, 7, 0, 0, 0, 0, 0, 0, 935, 402
50321, 839, 7, 0, 0, 0, 0, 0, 0, 997, 402
50341, 836, 7, 0, 0, 0, 0, 0, 0, 1057, 402
50361, 839, 7, 0, 0, 0, 0, 0, 0, 1117, 402
50381, 841, 10, 0, 0, 0, 0, 0, 0, 1179, 410
50401, 845, 10, 0, 0, 0, 0, 0, 0, 1299, 550
50421, 842, 11, 0, 0, 0, 0, 0, 0, 1434, 621
50441, 836, 15, 0, 0, 0, 0, 0, 0, 1633, 866
50461, 836, 15, 0, 0, 0, 0, 0, 0, 1853, 1168
50481, 840, 15, 0, 0, 0, 0, 0, 0, 2073, 1376
50501, 837, 15, 0, 0, 0, 0, 0, 0, 2293, 1622
50521, 834, 17, 0, 0, 0, 0, 0, 0, 2526, 1902
50541, 832, 17, 0, 0, 0, 0, 0, 0, 2786, 2160
50561, 836, 17, 0, 0, 0, 0, 0, 0, 3046, 2246
50581, 833, 19, 0, 0, 0, 0, 0, 0, 3332, 2394
50601, 835, 22, 0, 0, 0, 0, 0, 0, 3677, 2687
50621, 839, 22, 0, 0, 0, 0, 0, 0, 4037, 2945
50641, 837, 23, 0, 0, 0, 0, 0, 0, 4405, 3142
50661, 834, 24, 0, 0, 0, 0, 0, 0, 4792, 3385
50681, 833, 24, 0, 0, 0, 0, 0, 0, 5192, 3567
50701, 832, 26, 0, 0, 0, 0, 0, 0, 5614, 3811
50721, 827, 28, 0, 0, 0, 0, 0, 0, 6086, 4117
50741, 827, 29, 0, 0, 0, 0, 0, 0, 6584, 4351
50761, 822, 32, 0, 0, 0, 0, 0, 0, 7098, 4597
50781, 814, 37, 0, 0, 0, 0, 0, 0, 7665, 5127
50801, 808, 37, 0, 0, 0, 0, 0, 0, 8260, 5684
50821, 806, 43, 0, 0, 0, 0, 0, 0, 8900, 6323
50841, 806, 43, 0, 0, 0, 0, 0, 0, 9590, 7305
50861, 810, 43, 0, 0, 0, 0, 0, 0, 10270, 8123
50881, 807, 45, 0, 0, 0, 0, 0, 0, 10933, 8876
50901, 806, 46, 0, 0, 0, 0, 0, 0, 11623, 9473
50921, 814, 48, 0, 0, 0, 0, 0, 0, 12307, 10347
50941, 813, 48, 0, 0, 0, 0, 0, 0, 12984, 11201
50961, 812, 48, 0, 0, 0, 0, 0, 0, 13644, 11727
50981, 812, 48, 0, 0, 0, 0, 0, 0, 14304, 12647
51001, 812, 49, 0, 0, 0, 0, 0, 0, 14965, 13401
51021, 810, 50, 0, 0, 0, 0, 0, 0, 15651, 14056
51041, 812, 50, 0, 0, 0, 0, 0, 0, 16351, 14898
51061, 816, 50, 0, 0, 0, 0, 0, 0, 17035, 15788
51081, 819, 50, 0, 0, 0, 0, 0, 0, 17714, 16419
51101, 818, 50, 0, 0, 0, 0, 0, 0, 18352, 17369
51121, 821, 50, 0, 0, 0, 0, 0, 0, 18972, 18159
51141, 821, 51, 0, 0, 0, 0, 0, 0, 19609, 18811
51161, 825, 51, 0, 0, 0, 0, 0, 0, 20249, 19923
51181, 821, 55, 0, 0, 0, 0, 0, 0, 20931, 21254
51201, 825, 56, 0, 0, 0, 0, 0, 0, 21610, 22017
51221, 823, 57, 0, 0, 0, 0, 0, 0, 22304, 22646
51241, 824, 58, 0, 0, 0, 0, 0, 0, 23007, 23329
51261, 822, 58, 0, 0, 0, 0, 0, 0, 23727, 23879
51281, 819, 60, 0, 0, 0, 0, 0, 0, 24466, 24597
51301, 818, 61, 0, 0, 0, 0, 0, 0, 25216, 25212
51321, 814, 62, 0, 0, 0, 0, 0, 0, 25977, 26109
51341, 814, 62, 0, 0, 0, 0, 0, 0, 26743, 26819
51361, 817, 62, 0, 0, 0, 0, 0, 0, 27494, 27449
51381, 816, 63, 0, 0, 0, 0, 0, 0, 28246, 28185
51401, 812, 66, 0, 0, 0, 0, 0, 0, 29016, 29010
51421, 809, 67, 0, 0, 0, 0, 0, 0, 29816, 29745
51441, 804, 71, 0, 0, 0, 0, 0, 0, 30639, 30570
51461, 805, 71, 0, 0, 0, 0, 0, 0, 31473, 31461
51481, 803, 72, 0, 0, 0, 0, 0, 0, 32284, 32424
51501, 811, 72, 0, 0, 0, 0, 0, 0, 33104, 33540
51521, 811, 74, 0, 0, 0, 0, 0, 0, 33942, 34476
51541, 808, 77, 0, 0, 0, 0, 0, 0, 34816, 35473
51561, 808, 78, 0, 0, 0, 0, 0, 0, 35681, 36407
51581, 803, 80, 0, 0, 0, 0, 0, 0, 36469, 37133
51601, 804, 80, 0, 0, 0, 0, 0, 0, 37235, 37681
51621, 805, 80, 0, 0, 0, 0, 0, 0, 37977, 38149
51641, 806, 80, 0, 0, 0, 0, 0, 0, 38717, 38793
51661, 808, 82, 0, 0, 0, 0, 0, 0, 39466, 39268
51681, 809, 83, 0, 0, 0, 0, 0, 0, 40207, 39740
51701, 809, 83, 0, 0, 0, 0, 0, 0, 40946, 40497
51721, 807, 83, 0, 0, 0, 0, 0, 0, 41675, 41083
51741, 810, 83, 0, 0, 0, 0, 0, 0, 42368, 41635
51761, 808, 83, 0, 0, 0, 0, 0, 0, 43048, 42177
51781, 804, 85, 0, 0, 0, 0, 0, 0, 43732, 42808
51801, 810, 85, 0, 0, 0, 0, 0, 0, 44431, 43538
51821, 807, 88, 0, 0, 0, 0, 0, 0, 45136, 44362
51841, 809, 89, 0, 0, 0, 0, 0, 0, 45880, 45209
51861, 807, 89, 0, 0, 0, 0, 0, 0, 46633, 45943
51881, 811, 88, 0, 0, 0, 0, 0, 0, 47373, 46963
51901, 811, 90, 0, 0, 0, 0, 0, 0, 48091, 47863
51921, 809, 93, 0, 0, 0, 0, 0, 0, 48835, 48685
51941, 809, 93, 0, 0, 0, 0, 0, 0, 49622, 49664
51961, 808, 97, 0, 0, 0, 0, 0, 0, 50424, 50592
51981, 807, 101, 0, 0, 0, 0, 0, 0, 51251, 51623
52001, 804, 101, 0, 0, 0, 0, 0, 0, 52110, 52765
52021, 811, 102, 0, 0, 0, 0, 0, 0, 53010, 54261
52041, 814, 102, 0, 0, 0, 0, 0, 0, 53891, 55329
52061, 815, 102, 0, 0, 0, 0, 0, 0, 54755, 56271
52081, 815, 102, 0, 0, 0, 0, 0, 0, 55615, 57431
52101, 810, 103, 0, 0, 0, 0, 0, 0, 56465, 58671
52121, 809, 103, 0, 0, 0, 0, 0, 0, 57310, 59855
52141, 808, 104, 0, 0, 0, 0, 0, 0, 58150, 60932
52161, 803, 105, 0, 0, 0, 0, 0, 0, 58995, 61965
52181, 800, 106, 0, 0, 0, 0, 0, 0, 59852, 63126
52201, 801, 107, 0, 0, 0, 0, 0, 0, 60706, 64272
52221, 800, 107, 0, 0, 0, 0, 0, 0, 61531, 65164
52241, 801, 109, 0, 0, 0, 0, 0, 0, 62339, 66172
52261, 797, 109, 0, 0, 0, 0, 0, 0, 63115, 67008
52281, 797, 110, 0, 0, 0, 0, 0, 0, 63872, 68015
52301, 795, 110, 0, 0, 0, 0, 0, 0, 64621, 68955
52321, 784, 110, 0, 0, 0, 0, 0, 0, 65345, 69785
52341, 786, 110, 0, 0, 0, 0, 0, 0, 66061, 70897
52361, 787, 110, 0, 0, 0, 0, 0, 0, 66746, 71810
52381, 790, 110, 0, 0, 0, 0, 0, 0, 67406, 72800
52401, 790, 109, 0, 0, 0, 0, 0, 0, 68043, 73719
52421, 788, 110, 0, 0, 0, 0, 0, 0, 68665, 74379
52441, 789, 110, 0, 0, 0, 0, 0, 0, 69305, 75091
52461, 785, 111, 0, 0, 0, 0, 0, 0, 69948, 75622
52481, 785, 112, 0, 0, 0, 0, 0, 0, 70579, 76232
52501, 782, 113, 0, 0, 0, 0, 0, 0, 71206, 76644
52521, 784, 113, 0, 0, 0, 0, 0, 0, 71846, 77228
52541, 778, 116, 0, 0, 0, 0, 0, 0, 72507, 77945
52561, 778, 117, 0, 0, 0, 0, 0, 0, 73218, 78678
52581, 770, 120, 0, 0, 0, 0, 0, 0, 73944, 79551
52601, 771, 121, 0, 0, 0, 0, 0, 0, 74628, 80256
52621, 766, 121, 0, 0, 0, 0, 0, 0, 75313, 80796
52641, 766, 122, 0, 0, 0, 0, 0, 0, 76009, 81422
52661, 771, 122, 0, 0, 0, 0, 0, 0, 76729, 81996
52681, 770, 121, 0, 0, 0, 0, 0, 0, 77424, 82710
52701, 771, 123, 0, 0, 0, 0, 0, 0, 78101, 83322
52721, 769, 124, 0, 0, 0, 0, 0, 0, 78813, 83974
52741, 765, 125, 0, 0, 0, 0, 0, 0, 79525, 84605
52761, 763, 126, 0, 0, 0, 0, 0, 0, 80207, 85128
52781, 759, 128, 0, 0, 0, 0, 0, 0, 80882, 85659
52801, 762, 128, 0, 0, 0, 0, 0, 0, 81525, 86138
52821, 763, 128, 0, 0, 0, 0, 0, 0, 82125, 86532
52841, 760, 129, 0, 0, 0, 0, 0, 0, 82733, 86970
52861, 759, 129, 0, 0, 0, 0, 0, 0, 83347, 87320
52881, 761, 129, 0, 0, 0, 0, 0, 0, 83946, 87696
52901, 759, 129, 0, 0, 0, 0, 0, 0, 84539, 88132
52921, 760, 129, 0, 0, 0, 0, 0, 0, 85119, 88506
52941, 760, 131, 0, 0, 0, 0, 0, 0, 85703, 88894
52961, 761, 133, 0, 0, 0, 0, 0, 0, 86311, 89283
52981, 765, 134, 0, 0, 0, 0, 0, 0, 86938, 89752
53001, 763, 134, 0, 0, 0, 0, 0, 0, 87539, 90171
53021, 763, 134, 0, 0, 0, 0, 0, 0, 88139, 90507
53041, 764, 136, 0, 0, 0, 0, 0, 0, 88762, 90930
53061, 765, 135, 0, 0, 0, 0, 0, 0, 89402, 91462
53081, 759, 138, 0, 0, 0, 0, 0, 0, 90092, 91946
53101, 765, 138, 0, 0, 0, 0, 0, 0, 90754, 92350
53121, 765, 138, 0, 0, 0, 0, 0, 0, 91432, 92776
53141, 768, 138, 0, 0, 0, 0, 0, 0, 92112, 93460
53161, 762, 141, 0, 0, 0, 0, 0, 0, 92806, 94033
53181, 763, 142, 0, 0, 0, 0, 0, 0, 93508, 94672
53201, 759, 145, 0, 0, 0, 0, 0, 0, 94233, 95325
53221, 757, 144, 0, 0, 0, 0, 0, 0, 94985, 95892
53241, 758, 144, 0, 0, 0, 0, 0, 0, 95735, 96378
53261, 761, 145, 0, 0, 0, 0, 0, 0, 96498, 96940
53281, 759, 146, 0, 0, 0, 0, 0, 0, 97271, 97468
53301, 756, 146, 0, 0, 0, 0, 0, 0, 98033, 97902
53321, 757, 147, 0, 0, 0, 0, 0, 0, 98779, 98554
53341, 755, 147, 0, 0, 0, 0, 0, 0, 99519, 99226
53361, 752, 148, 0, 0, 0, 0, 0, 0, 100240, 99792
53381, 750, 149, 0, 0, 0, 0, 0, 0, 100975, 100192
53401, 751, 149, 0, 0, 0, 0, 0, 0, 101708, 100690
53421, 751, 151, 0, 0, 0, 0, 0, 0, 102432, 101157
53441, 751, 151, 0, 0, 0, 0, 0, 0, 103155, 101689
53461, 749, 152, 0, 0, 0, 0, 0, 0, 103875, 102136
53481, 745, 152, 0, 0, 0, 0, 0, 0, 104608, 102770
53501, 744, 153, 0, 0, 0, 0, 0, 0, 105341, 103279
53521, 739, 153, 0, 0, 0, 0, 0, 0, 106061, 103714
53541, 740, 153, 0, 0, 0, 0, 0, 0, 106775, 104102
53561, 744, 153, 0, 0, 0, 0, 0, 0, 107475, 104524
53581, 746, 151, 0, 0, 0, 0, 0, 0, 108145, 105033
53601, 747, 153, 0, 0, 0, 0, 0, 0, 108809, 105510
53621, 746, 154, 0, 0, 0, 0, 0, 0, 109493, 105982
53641, 744, 154, 0, 0, 0, 0, 0, 0, 110182, 106464
53661, 752, 154, 0, 0, 0, 0, 0, 0, 110856, 106900
53681, 749, 157, 0, 0, 0, 0, 0, 0, 111537, 107417
53701, 751, 156, 0, 0, 0, 0, 0, 0, 112262, 108033
53721, 744, 155, 0, 0, 0, 0, 0, 0, 112994, 108533
53741, 744, 155, 0, 0, 0, 0, 0, 0, 113675, 109045
53761, 743, 155, 0, 0, 0, 0, 0, 0, 114358, 109583
53781, 745, 155, 0, 0, 0, 0, 0, 0, 115018, 110003
53801, 744, 154, 0, 0, 0, 0, 0, 0, 115638, 110340
53821, 741, 155, 0, 0, 0, 0, 0, 0, 116238, 110687
53841, 739, 158, 0, 0, 0, 0, 0, 0, 116868, 111091
53861, 738, 159, 0, 0, 0, 0, 0, 0, 117528, 111550
53881, 738, 159, 0, 0, 0, 0, 0, 0, 118165, 111902
53901, 735, 159, 0, 0, 0, 0, 0, 0, 118829, 112420
53921, 735, 160, 0, 0, 0, 0, 0, 0, 119502, 112994
53941, 731, 161, 0, 0, 0, 0, 0, 0, 120192, 113451
53961, 725, 162, 0, 0, 0, 0, 0, 0, 120890, 113860
53981, 717, 165, 0, 0, 0, 0, 0, 0, 121574, 114285
54001, 719, 165, 0, 0, 0, 0, 0, 0, 122251, 114668
54021, 720, 164, 0, 0, 0, 0, 0, 0, 122914, 114952
54041, 723, 163, 0, 0, 0, 0, 0, 0, 123569, 115092
54061, 721, 164, 0, 0, 0, 0, 0, 0, 124210, 115322
54081, 717, 164, 0, 0, 0, 0, 0, 0, 124870, 115730
54101, 710, 168, 0, 0, 0, 0, 0, 0, 125592, 116165
54121, 706, 170, 0, 0, 0, 0, 0, 0, 126338, 116670
54141, 714, 170, 0, 0, 0, 0, 0, 0, 127098, 117150
54161, 713, 172, 0, 0, 0, 0, 0, 0, 127862, 117645
54181, 714, 172, 0, 0, 0, 0, 0, 0, 128609, 118144
54201, 717, 171, 0, 0, 0, 0, 0, 0, 129346, 118658
54221, 720, 172, 0, 0, 0, 0, 0, 0, 130073, 119231
54241, 714, 172, 0, 0, 0, 0, 0, 0, 130800, 119753
54261, 714, 172, 0, 0, 0, 0, 0, 0, 131529, 120270
54281, 716, 173, 0, 0, 0, 0, 0, 0, 132241, 120810
54301, 722, 175, 0, 0, 0, 0, 0, 0, 132962, 121417
